,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 澎湖縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 澎湖縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,澎湖縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Penghu County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Penghu County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,澎湖縣,31607,27590,3795,222,,,
,Penghu County,,,,,,,
,馬公市,22577,21199,1213,165,,,
,Magong City,,,,,,,
,湖西鄉,3917,2200,1697,20,,,
,Huxi Township,,,,,,,
,白沙鄉,2068,1542,501,25,,,
,Baisha Township,,,,,,,
,西嶼鄉,1839,1467,370,2,,,
,Xiyu Township,,,,,,,
,望安鄉,646,635,6,5,,,
,Wang'an Township,,,,,,,
,七美鄉,560,547,8,5,,,
,Qimei Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 澎湖縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 澎湖縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,澎湖縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Penghu County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Penghu County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,澎湖縣,17644,15412,2103,129,,,
,Penghu County,,,,,,,
,馬公市,12080,11225,755,100,,,
,Magong City,,,,,,,
,湖西鄉,2172,1339,822,11,,,
,Huxi Township,,,,,,,
,白沙鄉,1340,1037,289,14,,,
,Baisha Township,,,,,,,
,西嶼鄉,1237,1005,232,0,,,
,Xiyu Township,,,,,,,
,望安鄉,449,443,4,2,,,
,Wang'an Township,,,,,,,
,七美鄉,366,363,1,2,,,
,Qimei Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 澎湖縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４ 澎湖縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４,澎湖縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）
,Table 14 Penghu County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Penghu County,0
,Civilian Resident Population Aged 15 Years and Over(End),,,(3)女性,,,,
,(3)女性 (3)Female,,,(3)Female,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,澎湖縣,13963,12178,1692,93,,,
,Penghu County,,,,,,,
,馬公市,10497,9974,458,65,,,
,Magong City,,,,,,,
,湖西鄉,1745,861,875,9,,,
,Huxi Township,,,,,,,
,白沙鄉,728,505,212,11,,,
,Baisha Township,,,,,,,
,西嶼鄉,602,462,138,2,,,
,Xiyu Township,,,,,,,
,望安鄉,197,192,2,3,,,
,Wang'an Township,,,,,,,
,七美鄉,194,184,7,3,,,
,Qimei Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
