,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 澎湖縣住宅之竣工年份,,Table 38 Penghu County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 澎湖縣住宅之竣工年份,表３８,澎湖縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Penghu County Completion Year of Construction of Housing Units,Table 38,Penghu County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,澎湖縣,31003,14492,4921,5038,,3355,3197,1345,1852,Penghu County,,
,馬公市,19434,7464,3378,3879,,2277,2436,1030,1406,Magong City,,
,湖西鄉,4275,2181,500,564,,583,447,161,286,Huxi Township,,
,白沙鄉,2629,1598,404,288,,180,159,96,63,Baisha Township,,
,西嶼鄉,2547,1628,395,265,,150,109,39,70,Xiyu Township,,
,望安鄉,1190,1034,61,9,,60,26,12,14,Wang'an Township,,
,七美鄉,928,587,183,33,,105,20,7,13,Qimei Township,,
