,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,,
,表４０ 澎湖縣住宅之建築類型,,Table 40 Penghu County Type of Building,,,,表４０ 住宅之建築類型,表４０ 澎湖縣住宅之建築類型,表４０,澎湖縣,住宅之建築類型
,,,,,,,Table 40 Type of Building,Table 40 Penghu County Type of Building,Table 40,Penghu County,Type of Building
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                     民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總 計,平房,２－５樓,,６－１２樓,１３樓以上,,,,
,,,,,,,,,,,
,,Grand total,Flat,2-5 floors,,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,
,澎湖縣,31003,3790,25568,,1282,363,Penghu County,,,
,馬公市,19434,2033,15756,,1282,363,Magong City,,,
,湖西鄉,4275,534,3741,,0,0,Huxi Township,,,
,白沙鄉,2629,421,2208,,0,0,Baisha Township,,,
,西嶼鄉,2547,425,2122,,0,0,Xiyu Township,,,
,望安鄉,1190,138,1052,,0,0,Wang'an Township,,,
,七美鄉,928,239,689,,0,0,Qimei Township,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,,
,表４０ 澎湖縣住宅之建築類型（續）,,Table 40 Penghu County Type of Building(Cont.),,,,表４０ 住宅之建築類型,表４０ 澎湖縣住宅之建築類型,表４０,澎湖縣,住宅之建築類型
,,,,,,,Table 40 Type of Building,Table 40 Penghu County Type of Building,Table 40,Penghu County,Type of Building
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                     民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總 計,平房,２－５樓,,６－１２樓,１３樓以上,,,,
,,,,,,,,,,,
,,Grand total,Flat,2-5 floors,,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按樓地板面積分,,,,,,,By Total Floor Area,,,
,總計,31003,3790,25568,,1282,363,Grand Total,,,
,未滿６０平方公尺,3485,527,2826,,126,6,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,11486,1516,9089,,530,351,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,8770,1119,7242,,409,-,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,6864,613,6038,,207,6,180-Under 300 Square Meters,,,
,３００平方公尺以上,398,15,373,,10,-,300 Square Meters and More,,,
,按竣工年份分,,,,,,,By Completion Year of Construction,,,
,總計,31003,3790,25568,,1282,363,Grand Total,,,
,６９年以前,14492,1496,12996,,0,0,Before 1980,,,
,７０－７９年,4921,709,4185,,27,0,1981-1990,,,
,８０－８９年,5038,1120,2827,,1091,0,1991-2000,,,
,９０－９９年,3355,246,2646,,100,363,2001-2010,,,
,１００－１０９年,3197,219,2914,,64,0,2011-2020,,,
,１００－１０４年,1345,113,1232,,0,0,2011-2015,,,
,１０５－１０９年,1852,106,1682,,64,0,2016-2020,,,
