,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 澎湖縣空閒住宅之竣工年份,,Table 41 Penghu County Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 澎湖縣空閒住宅之竣工年份,表４１,澎湖縣,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Penghu County Completion Year of Vacant Housing Units,Table 41,Penghu County,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,澎湖縣,7437,4148,849,1042,,661,737,199,538,Penghu County,,
,馬公市,3828,1623,444,793,,402,566,133,433,Magong City,,
,湖西鄉,1084,656,123,115,,101,89,20,69,Huxi Township,,
,白沙鄉,766,525,90,59,,58,34,25,9,Baisha Township,,
,西嶼鄉,709,505,90,56,,31,27,10,17,Xiyu Township,,
,望安鄉,661,581,29,4,,33,14,8,6,Wang'an Township,,
,七美鄉,389,258,73,15,,36,7,3,4,Qimei Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
