,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 澎湖縣有人經常居住住宅之使用情形,,Table 43 Penghu County Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 澎湖縣有人經常居住住宅之使用情形,表４３,澎湖縣,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Penghu County Housing Usage of Occupied Housing Units,Table 43,Penghu County,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,澎湖縣,21955,19971,1984,,106,1878,0,Penghu County,,,,,,,
,馬公市,14369,12644,1725,,95,1630,0,Magong City,,,,,,,
,湖西鄉,3054,2946,108,,5,103,0,Huxi Township,,,,,,,
,白沙鄉,1819,1762,57,,5,52,0,Baisha Township,,,,,,,
,西嶼鄉,1714,1643,71,,0,71,0,Xiyu Township,,,,,,,
,望安鄉,502,489,13,,1,12,0,Wang'an Township,,,,,,,
,七美鄉,497,487,10,,0,10,0,Qimei Township,,,,,,,
