,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 澎湖縣有人經常居住住宅之居住人數,,Table 44 Penghu County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 澎湖縣有人經常居住住宅之居住人數,表４４,澎湖縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Penghu County Number of Persons of Occupied Housing Units,Table 44,Penghu County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,澎湖縣,21955,5508,6444,4122,,2914,1411,1556,3.2,Penghu County,,,
,馬公市,14369,3514,4255,2858,,1964,941,837,3.4,Magong City,,,
,湖西鄉,3054,714,760,523,,494,240,323,2.9,Huxi Township,,,
,白沙鄉,1819,527,470,307,,223,107,185,2.9,Baisha Township,,,
,西嶼鄉,1714,417,624,290,,161,77,145,2.9,Xiyu Township,,,
,望安鄉,502,158,193,68,,33,21,29,2.2999999999999998,Wang'an Township,,,
,七美鄉,497,178,142,76,,39,25,37,2.6,Qimei Township,,,
