,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 澎湖縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Penghu County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 澎湖縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,澎湖縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Penghu County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Penghu County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,澎湖縣,21955,1666,7058,6334,6897,1.6,,3637,6307,8164,3847,0.7,Penghu County
,馬公市,14369,1002,4693,4416,4258,1.5,,2038,3840,5511,2980,0.8,Magong City
,湖西鄉,3054,281,1050,767,956,1.9,,669,996,1002,387,0.7,Huxi Township
,白沙鄉,1819,178,576,444,621,1.8,,361,562,655,241,0.7,Baisha Township
,西嶼鄉,1714,129,485,448,652,1.8,,335,582,643,154,0.6,Xiyu Township
,望安鄉,502,29,128,144,201,2.1,,122,184,164,32,0.6,Wang'an Township
,七美鄉,497,47,126,115,209,1.9,,112,143,189,53,0.6,Qimei Township
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,21955,1666,7058,6334,6897,1.6,,3637,6307,8164,3847,0.7,Grand Total
,未滿６０平方公尺,1914,204,484,892,334,1.4,,351,478,997,88,0.6,Under 60 Square Meters
,６０－未滿１２０平方公尺,7831,606,2395,2254,2576,1.6,,1708,2551,2509,1063,0.6,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,6716,534,2355,1737,2090,1.6,,1058,2115,2360,1183,0.7,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,5159,305,1666,1396,1792,1.7,,468,1080,2186,1425,0.9,180-Under 300 Square Meters
,３００平方公尺以上,335,17,158,55,105,1.6,,52,83,112,88,0.9,300 Square Meters and More
