,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,臺中市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Taichung City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Taichung City,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,臺中市,1478749,881230,531214,66305,,,
,Taichung City,,,,,,,
,中 區,10216,5976,3877,363,,,
,Central District,,,,,,,
,東 區,41136,20813,18625,1698,,,
,East District,,,,,,,
,南 區,70917,37402,29622,3893,,,
,South District,,,,,,,
,西 區,57887,33214,21252,3421,,,
,West District,,,,,,,
,北 區,77617,48712,26060,2845,,,
,North District,,,,,,,
,西屯區,144600,100954,34944,8702,,,
,Xitun District,,,,,,,
,南屯區,91028,61279,23508,6241,,,
,Nantun District,,,,,,,
,北屯區,150453,85687,57702,7064,,,
,Beitun District,,,,,,,
,豐原區,71728,45619,23784,2325,,,
,Fengyuan District,,,,,,,
,東勢區,22028,14749,6905,374,,,
,Dongshi District,,,,,,,
,大甲區,34449,25595,7205,1649,,,
,Dajia District,,,,,,,
,清水區,39742,20029,18374,1339,,,
,Qingshui District,,,,,,,
,沙鹿區,52943,23585,27218,2140,,,
,Shalu District,,,,,,,
,梧棲區,29382,17428,11069,885,,,
,Wuqi District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,臺中市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Taichung City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Taichung City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,后里區,26520,18045,7425,1050,,,
,Houli District,,,,,,,
,神岡區,33178,19883,12649,646,,,
,Shengang District,,,,,,,
,潭子區,58320,33908,22885,1527,,,
,Tanzi District,,,,,,,
,大雅區,53189,34116,17655,1418,,,
,Daya District,,,,,,,
,新社區,12407,8363,3868,176,,,
,Xinshe District,,,,,,,
,石岡區,6273,2385,3740,148,,,
,Shigang District,,,,,,,
,外埔區,15617,6802,8201,614,,,
,Waipu District,,,,,,,
,大安區,8875,3889,4694,292,,,
,Da'an District,,,,,,,
,烏日區,42895,22236,17291,3368,,,
,Wuri District,,,,,,,
,大肚區,28957,14877,12224,1856,,,
,Dadu District,,,,,,,
,龍井區,38480,17389,19635,1456,,,
,Longjing District,,,,,,,
,霧峰區,35108,21588,11822,1698,,,
,Wufeng District,,,,,,,
,太平區,102623,63823,35525,3275,,,
,Taiping District,,,,,,,
,大里區,118155,69280,43082,5793,,,
,Dali District,,,,,,,
,和平區,4026,3604,373,49,,,
,Heping District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,表１４,臺中市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）
,Table 14 Taichung City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Taichung City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.2),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,臺中市,808880,485324,282345,41211,,,
,Taichung City,,,,,,,
,中 區,5448,3296,1962,190,,,
,Central District,,,,,,,
,東 區,22492,11928,9540,1024,,,
,East District,,,,,,,
,南 區,37169,19753,14988,2428,,,
,South District,,,,,,,
,西 區,29668,16412,11062,2194,,,
,West District,,,,,,,
,北 區,41603,26344,13390,1869,,,
,North District,,,,,,,
,西屯區,76648,52979,18280,5389,,,
,Xitun District,,,,,,,
,南屯區,49050,33377,11748,3925,,,
,Nantun District,,,,,,,
,北屯區,80187,45695,30114,4378,,,
,Beitun District,,,,,,,
,豐原區,39089,24722,13048,1319,,,
,Fengyuan District,,,,,,,
,東勢區,12611,8264,4138,209,,,
,Dongshi District,,,,,,,
,大甲區,19647,14264,4332,1051,,,
,Dajia District,,,,,,,
,清水區,23034,12107,10077,850,,,
,Qingshui District,,,,,,,
,沙鹿區,29427,13003,15073,1351,,,
,Shalu District,,,,,,,
,梧棲區,17005,10161,6267,577,,,
,Wuqi District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）,表１４,臺中市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）
,Table 14 Taichung City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Taichung City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.3),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,后里區,15234,10569,3989,676,,,
,Houli District,,,,,,,
,神岡區,18582,11628,6569,385,,,
,Shengang District,,,,,,,
,潭子區,32593,18803,12831,959,,,
,Tanzi District,,,,,,,
,大雅區,29920,19444,9623,853,,,
,Daya District,,,,,,,
,新社區,6884,4527,2247,110,,,
,Xinshe District,,,,,,,
,石岡區,3727,1501,2149,77,,,
,Shigang District,,,,,,,
,外埔區,8911,4120,4403,388,,,
,Waipu District,,,,,,,
,大安區,5212,2536,2481,195,,,
,Da'an District,,,,,,,
,烏日區,23706,12501,9166,2039,,,
,Wuri District,,,,,,,
,大肚區,16503,8777,6658,1068,,,
,Dadu District,,,,,,,
,龍井區,21799,10543,10269,987,,,
,Longjing District,,,,,,,
,霧峰區,19597,12350,6296,951,,,
,Wufeng District,,,,,,,
,太平區,56814,36118,18580,2116,,,
,Taiping District,,,,,,,
,大里區,63791,37330,22840,3621,,,
,Dali District,,,,,,,
,和平區,2529,2272,225,32,,,
,Heping District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續４）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續４）,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續４）,表１４,臺中市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續４）
,Table 14 Taichung City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Taichung City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.4),,,(3)女性,,,,
,(3)女性 (3)Female,,,(3)Female,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,臺中市,669869,395906,248869,25094,,,
,Taichung City,,,,,,,
,中 區,4768,2680,1915,173,,,
,Central District,,,,,,,
,東 區,18644,8885,9085,674,,,
,East District,,,,,,,
,南 區,33748,17649,14634,1465,,,
,South District,,,,,,,
,西 區,28219,16802,10190,1227,,,
,West District,,,,,,,
,北 區,36014,22368,12670,976,,,
,North District,,,,,,,
,西屯區,67952,47975,16664,3313,,,
,Xitun District,,,,,,,
,南屯區,41978,27902,11760,2316,,,
,Nantun District,,,,,,,
,北屯區,70266,39992,27588,2686,,,
,Beitun District,,,,,,,
,豐原區,32639,20897,10736,1006,,,
,Fengyuan District,,,,,,,
,東勢區,9417,6485,2767,165,,,
,Dongshi District,,,,,,,
,大甲區,14802,11331,2873,598,,,
,Dajia District,,,,,,,
,清水區,16708,7922,8297,489,,,
,Qingshui District,,,,,,,
,沙鹿區,23516,10582,12145,789,,,
,Shalu District,,,,,,,
,梧棲區,12377,7267,4802,308,,,
,Wuqi District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４ 臺中市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４,臺中市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）
,Table 14 Taichung City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Taichung City,0
,Civilian Resident Population Aged 15 Years and Over(End),,,(3)女性,,,,
,(3)女性 (3)Female,,,(3)Female,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,后里區,11286,7476,3436,374,,,
,Houli District,,,,,,,
,神岡區,14596,8255,6080,261,,,
,Shengang District,,,,,,,
