,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺中市５歲以上常住人口遷徙情形,,Table 20 Taichung City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 臺中市５歲以上常住人口遷徙情形,表２０,臺中市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Taichung City Migration Status of the Resident Population,Table 20,Taichung City,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺中市,2803202,2157569,273131,,201993,150809,19700,Taichung City
,中 區,18539,11327,2982,,2164,1897,169,Central District
,東 區,77063,58114,6918,,7966,3643,422,East District
,南 區,138619,96883,15679,,12521,12389,1147,South District
,西 區,115644,88301,10301,,8985,7124,933,West District
,北 區,149704,115115,14996,,10156,8486,951,North District
,西屯區,271053,178658,35077,,18711,34737,3870,Xitun District
,南屯區,179252,130170,20980,,15696,11323,1083,Nantun District
,北屯區,277789,204459,34371,,24607,12277,2075,Beitun District
,豐原區,137738,115039,13775,,6352,2251,321,Fengyuan District
,東勢區,39175,34934,2201,,1335,579,126,Dongshi District
,大甲區,65097,54859,6785,,2052,1275,126,Dajia District
,清水區,80296,69326,5328,,4133,1181,328,Qingshui District
,沙鹿區,101452,75506,7739,,10817,6496,894,Shalu District
,梧棲區,55400,44488,4043,,4940,1776,153,Wuqi District
,后里區,52947,42428,6043,,2803,1506,167,Houli District
,神岡區,60832,52799,3165,,3538,1111,219,Shengang District
,潭子區,106093,90039,8108,,6137,1353,456,Tanzi District
,大雅區,99098,79792,9446,,6675,2837,348,Daya District
,新社區,24622,20274,2369,,1239,695,45,Xinshe District
,石岡區,12075,10864,354,,608,193,56,Shigang District
,外埔區,29458,25152,1570,,2181,469,86,Waipu District
,大安區,16004,14151,809,,803,204,37,Da'an District
,烏日區,84641,64294,6494,,6763,6761,329,Wuri District
,大肚區,53327,45605,3940,,2450,1217,115,Dadu District
,龍井區,69813,60090,3943,,3924,1525,331,Longjing District
,霧峰區,78463,56314,2610,,5525,11446,2568,Wufeng District
,太平區,187784,141070,21328,,14817,9144,1425,Taiping District
,大里區,214569,171944,21509,,13664,6546,906,Dali District
,和平區,6655,5574,268,,431,368,14,Heping District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺中市５歲以上常住人口遷徙情形（續１）,,Table 20 Taichung City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 臺中市５歲以上常住人口遷徙情形（續１）,表２０,臺中市,５歲以上常住人口遷徙情形（續１）
,,,Aged 5 Years and Over(Cont.1),,Table 20 Migration Status of the Resident Population,Table 20 Taichung City Migration Status of the Resident Population,Table 20,Taichung City,Migration Status of the Resident Population
,(2)男性,,(2)Male,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺中市,1376132,1069306,131581,,94926,72000,8319,Taichung City
,中 區,9025,5644,1390,,1033,897,61,Central District
,東 區,37802,28916,3365,,3667,1672,182,East District
,南 區,65630,46773,7455,,5564,5330,508,South District
,西 區,52957,41202,4802,,3791,2744,418,West District
,北 區,70864,54889,7308,,4632,3552,483,North District
,西屯區,130629,87121,16524,,8246,17007,1731,Xitun District
,南屯區,88467,63305,10158,,8520,6063,421,Nantun District
,北屯區,131920,98391,15616,,11279,5777,857,Beitun District
,豐原區,67732,57296,6450,,3007,857,122,Fengyuan District
,東勢區,19966,17924,1106,,579,333,24,Dongshi District
,大甲區,32346,27418,3286,,977,607,58,Dajia District
,清水區,40921,35761,2577,,1909,568,106,Qingshui District
,沙鹿區,50242,38515,3902,,4895,2631,299,Shalu District
,梧棲區,27965,22521,2051,,2310,996,87,Wuqi District
,后里區,27342,22049,2757,,1502,1010,24,Houli District
,神岡區,30532,26618,1634,,1679,517,84,Shengang District
,潭子區,52203,44740,3981,,2753,501,228,Tanzi District
,大雅區,50273,40567,4891,,3290,1421,104,Daya District
,新社區,13447,10967,1229,,707,518,26,Xinshe District
,石岡區,6267,5680,165,,317,89,16,Shigang District
,外埔區,14610,12684,733,,978,185,30,Waipu District
,大安區,8089,7240,422,,331,94,2,Da'an District
,烏日區,44495,32825,3364,,3611,4594,101,Wuri District
,大肚區,26652,22979,1985,,1027,600,61,Dadu District
,龍井區,34341,29663,1919,,1906,710,143,Longjing District
,霧峰區,38033,28965,1229,,2334,4375,1130,Wufeng District
,太平區,93325,70224,10217,,7108,5093,683,Taiping District
,大里區,106362,85381,10866,,6749,3040,326,Dali District
,和平區,3695,3048,199,,225,219,4,Heping District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺中市５歲以上常住人口遷徙情形（續完）,,Table 20 Taichung City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續２）,表２０ 臺中市５歲以上常住人口遷徙情形（續２）,表２０,臺中市,５歲以上常住人口遷徙情形（續２）
,,,Aged 5 Years and Over(End),,Table 20 Migration Status of the Resident Population,Table 20 Taichung City Migration Status of the Resident Population,Table 20,Taichung City,Migration Status of the Resident Population
,(3)女性,,(3)Female,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺中市,1427070,1088263,141550,,107067,78809,11381,Taichung City
,中 區,9514,5683,1592,,1131,1000,108,Central District
,東 區,39261,29198,3553,,4299,1971,240,East District
,南 區,72989,50110,8224,,6957,7059,639,South District
,西 區,62687,47099,5499,,5194,4380,515,West District
,北 區,78840,60226,7688,,5524,4934,468,North District
,西屯區,140424,91537,18553,,10465,17730,2139,Xitun District
,南屯區,90785,66865,10822,,7176,5260,662,Nantun District
,北屯區,145869,106068,18755,,13328,6500,1218,Beitun District
,豐原區,70006,57743,7325,,3345,1394,199,Fengyuan District
,東勢區,19209,17010,1095,,756,246,102,Dongshi District
,大甲區,32751,27441,3499,,1075,668,68,Dajia District
,清水區,39375,33565,2751,,2224,613,222,Qingshui District
,沙鹿區,51210,36991,3837,,5922,3865,595,Shalu District
,梧棲區,27435,21967,1992,,2630,780,66,Wuqi District
,后里區,25605,20379,3286,,1301,496,143,Houli District
,神岡區,30300,26181,1531,,1859,594,135,Shengang District
,潭子區,53890,45299,4127,,3384,852,228,Tanzi District
,大雅區,48825,39225,4555,,3385,1416,244,Daya District
,新社區,11175,9307,1140,,532,177,19,Xinshe District
,石岡區,5808,5184,189,,291,104,40,Shigang District
,外埔區,14848,12468,837,,1203,284,56,Waipu District
,大安區,7915,6911,387,,472,110,35,Da'an District
,烏日區,40146,31469,3130,,3152,2167,228,Wuri District
,大肚區,26675,22626,1955,,1423,617,54,Dadu District
,龍井區,35472,30427,2024,,2018,815,188,Longjing District
,霧峰區,40430,27349,1381,,3191,7071,1438,Wufeng District
,太平區,94459,70846,11111,,7709,4051,742,Taiping District
,大里區,108207,86563,10643,,6915,3506,580,Dali District
,和平區,2960,2526,69,,206,149,10,Heping District
