,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 臺中市住宅使用情形,,Table 37 Taichung City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 臺中市住宅使用情形,表３７,臺中市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Taichung City Housing Usage Status,Table 37,Taichung City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,臺中市,1073182,813500,259682,,48367,63489,147826,Taichung City,,,,,
,中 區,9415,5795,3620,,485,445,2690,Central District,,,,,
,東 區,33188,25714,7474,,1699,1688,4087,East District,,,,,
,南 區,59404,43607,15797,,2659,3151,9987,South District,,,,,
,西 區,57573,41940,15633,,2665,3961,9007,West District,,,,,
,北 區,74650,53219,21431,,3467,3157,14807,North District,,,,,
,西屯區,114057,78932,35125,,7736,5663,21726,Xitun District,,,,,
,南屯區,76160,56865,19295,,3746,2728,12821,Nantun District,,,,,
,北屯區,117511,94662,22849,,4682,4345,13822,Beitun District,,,,,
,豐原區,50626,37889,12737,,1349,3316,8072,Fengyuan District,,,,,
,東勢區,16188,12969,3219,,1011,964,1244,Dongshi District,,,,,
,大甲區,22956,18086,4870,,1174,1188,2508,Dajia District,,,,,
,清水區,31410,21874,9536,,1389,1964,6183,Qingshui District,,,,,
,沙鹿區,33672,26092,7580,,1621,2132,3827,Shalu District,,,,,
,梧棲區,18889,14711,4178,,624,799,2755,Wuqi District,,,,,
,后里區,15730,12630,3100,,716,731,1653,Houli District,,,,,
,神岡區,18991,14083,4908,,535,2820,1553,Shengang District,,,,,
,潭子區,36299,30619,5680,,853,1949,2878,Tanzi District,,,,,
,大雅區,30561,22943,7618,,1474,3541,2603,Daya District,,,,,
,新社區,7735,5923,1812,,537,249,1026,Xinshe District,,,,,
,石岡區,4431,3386,1045,,374,288,383,Shigang District,,,,,
,外埔區,9304,7367,1937,,481,571,885,Waipu District,,,,,
,大安區,5276,4018,1258,,234,273,751,Da'an District,,,,,
,烏日區,26035,20612,5423,,670,2817,1936,Wuri District,,,,,
,大肚區,16702,13328,3374,,552,1423,1399,Dadu District,,,,,
,龍井區,23047,18147,4900,,952,2301,1647,Longjing District,,,,,
,霧峰區,20686,16013,4673,,1448,1485,1740,Wufeng District,,,,,
,太平區,66918,52148,14770,,2292,3675,8803,Taiping District,,,,,
,大里區,72028,57628,14400,,2242,5559,6599,Dali District,,,,,
,和平區,3740,2300,1440,,700,306,434,Heping District,,,,,
