,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 臺中市住宅之竣工年份,,Table 38 Taichung City Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 臺中市住宅之竣工年份,表３８,臺中市,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Taichung City Completion Year of Construction of Housing Units,Table 38,Taichung City,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,臺中市,1073182,253910,180940,351609,,144101,142622,78070,64552,Taichung City,,
,中 區,9415,3391,2350,3213,,147,314,230,84,Central District,,
,東 區,33188,9164,5663,8903,,5710,3748,2121,1627,East District,,
,南 區,59404,9592,5915,26221,,10998,6678,3428,3250,South District,,
,西 區,57573,14742,13462,21086,,5609,2674,1501,1173,West District,,
,北 區,74650,16493,21326,22851,,9744,4236,2155,2081,North District,,
,西屯區,114057,11630,17625,48790,,19425,16587,9120,7467,Xitun District,,
,南屯區,76160,5181,7981,33633,,15048,14317,7032,7285,Nantun District,,
,北屯區,117511,14787,21078,41307,,16010,24329,14749,9580,Beitun District,,
,豐原區,50626,18167,10081,11554,,5608,5216,2529,2687,Fengyuan District,,
,東勢區,16188,7050,3171,3475,,1159,1333,499,834,Dongshi District,,
,大甲區,22956,9359,4252,5380,,2114,1851,482,1369,Dajia District,,
,清水區,31410,10653,4976,5877,,4198,5706,2269,3437,Qingshui District,,
,沙鹿區,33672,9461,4932,6387,,6007,6885,3717,3168,Shalu District,,
,梧棲區,18889,4534,3634,5451,,1837,3433,1256,2177,Wuqi District,,
,后里區,15730,7377,2864,2751,,988,1750,741,1009,Houli District,,
,神岡區,18991,6033,3909,5194,,1671,2184,1217,967,Shengang District,,
,潭子區,36299,9226,4159,14518,,5474,2922,1906,1016,Tanzi District,,
,大雅區,30561,6221,4400,11631,,4585,3724,2213,1511,Daya District,,
,新社區,7735,3715,1013,1203,,1085,719,370,349,Xinshe District,,
,石岡區,4431,1983,837,777,,568,266,135,131,Shigang District,,
,外埔區,9304,3616,1343,2352,,1117,876,419,457,Waipu District,,
,大安區,5276,1917,980,1541,,593,245,106,139,Da'an District,,
,烏日區,26035,7702,3519,5460,,3048,6306,4542,1764,Wuri District,,
,大肚區,16702,7551,1960,4562,,1038,1591,392,1199,Dadu District,,
,龍井區,23047,5889,3387,9166,,1979,2626,1208,1418,Longjing District,,
,霧峰區,20686,7615,2984,5475,,2404,2208,1491,717,Wufeng District,,
,太平區,66918,19654,10218,21096,,4811,11139,7831,3308,Taiping District,,
,大里區,72028,19026,12465,21338,,10825,8374,4252,4122,Dali District,,
,和平區,3740,2181,456,417,,301,385,159,226,Heping District,,
