,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 臺中市住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 臺中市住宅之建築類型,表４０,臺中市,住宅之建築類型
,Table 40 Taichung City Type of Building,,,,,Table 40 Type of Building,Table 40 Taichung City Type of Building,Table 40,Taichung City,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,臺中市,1073182,122828,580675,206580,163099,,,,
,Taichung City,,,,,,,,,
,中 區,9415,226,3200,4242,1747,,,,
,Central District,,,,,,,,,
,東 區,33188,3653,20308,5880,3347,,,,
,East District,,,,,,,,,
,南 區,59404,3193,20835,13754,21622,,,,
,South District,,,,,,,,,
,西 區,57573,3445,23485,17817,12826,,,,
,West District,,,,,,,,,
,北 區,74650,5903,32847,19729,16171,,,,
,North District,,,,,,,,,
,西屯區,114057,8408,36270,31997,37382,,,,
,Xitun District,,,,,,,,,
,南屯區,76160,4549,27777,19272,24562,,,,
,Nantun District,,,,,,,,,
,北屯區,117511,9336,53985,29578,24612,,,,
,Beitun District,,,,,,,,,
,豐原區,50626,6764,34666,6613,2583,,,,
,Fengyuan District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 臺中市住宅之建築類型（續１）,,,,,表４０ 住宅之建築類型（續１）,表４０ 臺中市住宅之建築類型（續１）,表４０,臺中市,住宅之建築類型（續１）
,Table 40 Taichung City Type of Building(Cont.1),,,,,Table 40 Type of Building(Cont.1),Table 40 Taichung City Type of Building(Cont.1),Table 40,Taichung City,Type of Building(Cont.1)
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,東勢區,16188,3946,11380,776,86,,,,
,Dongshi District,,,,,,,,,
,大甲區,22956,4526,16658,1436,336,,,,
,Dajia District,,,,,,,,,
,清水區,31410,5542,22953,1584,1331,,,,
,Qingshui District,,,,,,,,,
,沙鹿區,33672,4374,27288,1825,185,,,,
,Shalu District,,,,,,,,,
,梧棲區,18889,2239,15012,1389,249,,,,
,Wuqi District,,,,,,,,,
,后里區,15730,4067,11436,227,0,,,,
,Houli District,,,,,,,,,
,神岡區,18991,4753,12869,1269,100,,,,
,Shengang District,,,,,,,,,
,潭子區,36299,4131,20844,7437,3887,,,,
,Tanzi District,,,,,,,,,
,大雅區,30561,5155,20090,4177,1139,,,,
,Daya District,,,,,,,,,
,新社區,7735,2431,5304,0,0,,,,
,Xinshe District,,,,,,,,,
,石岡區,4431,1235,3170,26,0,,,,
,Shigang District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 臺中市住宅之建築類型（續２）,,,,,表４０ 住宅之建築類型（續１）,表４０ 臺中市住宅之建築類型（續１）,表４０,臺中市,住宅之建築類型（續１）
,Table 40 Taichung City Type of Building(Cont.2),,,,,Table 40 Type of Building(Cont.1),Table 40 Taichung City Type of Building(Cont.1),Table 40,Taichung City,Type of Building(Cont.1)
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,外埔區,9304,2438,6558,308,0,,,,
,Waipu District,,,,,,,,,
,大安區,5276,1589,3687,0,0,,,,
,Da'an District,,,,,,,,,
,烏日區,26035,3023,16838,4197,1977,,,,
,Wuri District,,,,,,,,,
,大肚區,16702,3127,12615,907,53,,,,
,Dadu District,,,,,,,,,
,龍井區,23047,2233,17408,3123,283,,,,
,Longjing District,,,,,,,,,
,霧峰區,20686,4346,13452,2479,409,,,,
,Wufeng District,,,,,,,,,
,太平區,66918,9443,41677,11966,3832,,,,
,Taiping District,,,,,,,,,
,大里區,72028,7764,45312,14572,4380,,,,
,Dali District,,,,,,,,,
,和平區,3740,989,2751,0,0,,,,
,Heping District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
