,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 臺中市空閒住宅之竣工年份,,Table 41 Taichung City Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 臺中市空閒住宅之竣工年份,表４１,臺中市,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Taichung City Completion Year of Vacant Housing Units,Table 41,Taichung City,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,臺中市,196193,45063,29657,62444,,23188,35841,17112,18729,Taichung City,,
,中 區,3175,999,863,1193,,17,103,52,51,Central District,,
,東 區,5786,1806,954,1472,,664,890,487,403,East District,,
,南 區,12646,1884,1426,5437,,2449,1450,660,790,South District,,
,西 區,11672,2838,3106,4064,,881,783,436,347,West District,,
,北 區,18274,4026,5109,5882,,2217,1040,509,531,North District,,
,西屯區,29462,1947,3068,12334,,4846,7267,3566,3701,Xitun District,,
,南屯區,16567,913,1859,7181,,2779,3835,1677,2158,Nantun District,,
,北屯區,18504,2711,2785,6396,,2097,4515,2757,1758,Beitun District,,
,豐原區,9421,3294,1235,2349,,779,1764,584,1180,Fengyuan District,,
,東勢區,2255,1193,280,359,,170,253,58,195,Dongshi District,,
,大甲區,3682,1871,515,722,,251,323,63,260,Dajia District,,
,清水區,7572,2794,968,1217,,542,2051,538,1513,Qingshui District,,
,沙鹿區,5448,1236,673,978,,1240,1321,581,740,Shalu District,,
,梧棲區,3379,806,386,837,,273,1077,273,804,Wuqi District,,
,后里區,2369,1183,299,290,,135,462,182,280,Houli District,,
,神岡區,2088,772,356,480,,123,357,156,201,Shengang District,,
,潭子區,3731,1091,314,1522,,486,318,174,144,Tanzi District,,
,大雅區,4077,882,838,1360,,375,622,337,285,Daya District,,
,新社區,1563,837,95,160,,198,273,130,143,Xinshe District,,
,石岡區,757,364,93,128,,103,69,18,51,Shigang District,,
,外埔區,1366,661,190,234,,114,167,99,68,Waipu District,,
,大安區,985,515,142,202,,65,61,29,32,Da'an District,,
,烏日區,2606,692,343,554,,313,704,523,181,Wuri District,,
,大肚區,1951,1033,183,415,,86,234,34,200,Dadu District,,
,龍井區,2599,684,346,963,,216,390,137,253,Longjing District,,
,霧峰區,3188,1419,368,538,,308,555,321,234,Wufeng District,,
,太平區,11095,3201,1577,3164,,664,2489,1760,729,Taiping District,,
,大里區,8841,2746,1159,1888,,721,2327,906,1421,Dali District,,
,和平區,1134,665,127,125,,76,141,65,76,Heping District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
