,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 臺中市空閒住宅之樓地板面積,,Table 42 Taichung City Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 臺中市空閒住宅之樓地板面積,表４２,臺中市,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Taichung City Total Floor Area of Vacant Housing Units,Table 42,Taichung City,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,臺中市,196193,39411,81768,,41760,30932,2322,115.8,Taichung City,,
,中 區,3175,1825,882,,234,202,32,71.099999999999994,Central District,,
,東 區,5786,1128,3016,,860,738,44,106.8,East District,,
,南 區,12646,2630,6800,,2053,1059,104,100.3,South District,,
,西 區,11672,2352,5033,,2429,1735,123,113.8,West District,,
,北 區,18274,4464,8628,,2854,2221,107,102.4,North District,,
,西屯區,29462,8710,10233,,4678,5374,467,112.2,Xitun District,,
,南屯區,16567,3880,6480,,3629,2476,102,111.4,Nantun District,,
,北屯區,18504,2053,9543,,3728,2972,208,120.6,Beitun District,,
,豐原區,9421,2536,3625,,1729,1416,115,109.1,Fengyuan District,,
,東勢區,2255,226,825,,512,623,69,146,Dongshi District,,
,大甲區,3682,387,1204,,1072,927,92,144.1,Dajia District,,
,清水區,7572,635,2886,,2436,1480,135,136,Qingshui District,,
,沙鹿區,5448,1029,1314,,1746,1319,40,133.6,Shalu District,,
,梧棲區,3379,385,935,,1129,875,55,144.19999999999999,Wuqi District,,
,后里區,2369,277,644,,778,600,70,146.4,Houli District,,
,神岡區,2088,180,611,,709,503,85,150.19999999999999,Shengang District,,
,潭子區,3731,437,1936,,719,602,37,117.3,Tanzi District,,
,大雅區,4077,663,1611,,1183,592,28,120.3,Daya District,,
,新社區,1563,424,419,,292,381,47,129.6,Xinshe District,,
,石岡區,757,106,223,,213,201,14,140.4,Shigang District,,
,外埔區,1366,117,427,,465,341,16,144.69999999999999,Waipu District,,
,大安區,985,117,286,,301,248,33,145.30000000000001,Da'an District,,
,烏日區,2606,556,981,,663,388,18,117.3,Wuri District,,
,大肚區,1951,262,804,,539,333,13,121.5,Dadu District,,
,龍井區,2599,270,793,,917,549,70,140.5,Longjing District,,
,霧峰區,3188,344,1160,,1037,589,58,134.1,Wufeng District,,
,太平區,11095,2250,4876,,2712,1181,76,110.3,Taiping District,,
,大里區,8841,951,5110,,1892,832,56,108.9,Dali District,,
,和平區,1134,217,483,,251,175,8,115.5,Heping District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
