,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 臺中市有人經常居住住宅之居住人數,,Table 44 Taichung City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 臺中市有人經常居住住宅之居住人數,表４４,臺中市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Taichung City Number of Persons of Occupied Housing Units,Table 44,Taichung City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,臺中市,813500,162871,188536,177004,,148384,64889,71816,3.5,Taichung City,,,
,中 區,5795,2623,1389,769,,508,242,264,3.3,Central District,,,
,東 區,25714,5225,5963,5916,,4619,2011,1980,3.1,East District,,,
,南 區,43607,10079,10626,9839,,7939,2787,2337,3.2,South District,,,
,西 區,41940,11032,10951,8958,,6564,2451,1984,2.8,West District,,,
,北 區,53219,14555,14309,11308,,7630,2846,2571,2.9,North District,,,
,西屯區,78932,19255,18979,16872,,13662,5335,4829,3.2,Xitun District,,,
,南屯區,56865,11087,13316,13712,,11133,3965,3652,3.2,Nantun District,,,
,北屯區,94662,18219,23371,21477,,17654,7077,6864,3.1,Beitun District,,,
,豐原區,37889,7396,8636,8081,,6249,3199,4328,3.8,Fengyuan District,,,
,東勢區,12969,2735,3651,2562,,1790,922,1309,3.2,Dongshi District,,,
,大甲區,18086,3373,4200,3444,,3183,1708,2178,3.8,Dajia District,,,
,清水區,21874,3808,4660,4278,,3973,2204,2951,3.8,Qingshui District,,,
,沙鹿區,26092,4845,5489,5204,,5655,2270,2629,3.9,Shalu District,,,
,梧棲區,14711,2338,2924,3055,,2913,1597,1884,3.9,Wuqi District,,,
,后里區,12630,1883,2688,2511,,2367,1226,1955,4.2,Houli District,,,
,神岡區,14083,1723,2867,2929,,2764,1531,2269,4.5,Shengang District,,,
,潭子區,30619,4425,6308,6894,,6591,2904,3497,3.6,Tanzi District,,,
,大雅區,22943,3169,4469,5144,,5153,2282,2726,4.4000000000000004,Daya District,,,
,新社區,5923,1235,1569,1023,,849,565,682,3.8,Xinshe District,,,
,石岡區,3386,666,786,693,,536,298,407,3.6,Shigang District,,,
,外埔區,7367,1219,1536,1555,,1272,790,995,4.0999999999999996,Waipu District,,,
,大安區,4018,543,877,834,,754,410,600,4.2,Da'an District,,,
,烏日區,20612,3494,4474,4323,,4110,2035,2176,4,Wuri District,,,
,大肚區,13328,2164,2606,2613,,2549,1517,1879,4.2,Dadu District,,,
,龍井區,18147,3036,3728,3560,,3477,1888,2458,4.0999999999999996,Longjing District,,,
,霧峰區,16013,3031,3566,3164,,2821,1487,1944,4.4000000000000004,Wufeng District,,,
,太平區,52148,9071,11651,12255,,10020,4505,4646,3.7,Taiping District,,,
,大里區,57628,9797,12278,13721,,11475,4721,5636,3.8,Dali District,,,
,和平區,2300,845,669,310,,174,116,186,2.8,Heping District,,,
