,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 臺中市有人經常居住住宅之房廳數,,Table 45 Taichung City Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 臺中市有人經常居住住宅之房廳數,表４５,臺中市,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Taichung City Number of Rooms of Occupied Housing Units,Table 45,Taichung City,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,臺中市,813500,11541,38677,77271,,216625,250220,219166,4.8,Taichung City,,,
,中 區,5795,1035,1367,996,,1108,614,675,3.4,Central District,,,
,東 區,25714,297,1095,2311,,7149,8396,6466,4.8,East District,,,
,南 區,43607,560,1815,5289,,11513,15366,9064,4.7,South District,,,
,西 區,41940,1599,2036,4327,,11387,14091,8500,4.5999999999999996,West District,,,
,北 區,53219,1867,3785,5515,,17403,15072,9577,4.4000000000000004,North District,,,
,西屯區,78932,1074,5303,9794,,20139,24575,18047,4.5999999999999996,Xitun District,,,
,南屯區,56865,363,2853,3889,,12525,22002,15233,4.9000000000000004,Nantun District,,,
,北屯區,94662,172,4356,7583,,23212,33949,25390,4.9000000000000004,Beitun District,,,
,豐原區,37889,446,1726,4031,,12115,10030,9541,4.7,Fengyuan District,,,
,東勢區,12969,114,633,1220,,3545,3415,4042,4.9000000000000004,Dongshi District,,,
,大甲區,18086,153,726,1831,,5650,4462,5264,4.9000000000000004,Dajia District,,,
,清水區,21874,70,1205,1478,,3884,6291,8946,5.2,Qingshui District,,,
,沙鹿區,26092,290,1236,1859,,5326,8128,9253,5,Shalu District,,,
,梧棲區,14711,23,448,676,,2863,4619,6082,5.3,Wuqi District,,,
,后里區,12630,71,526,1113,,2768,2649,5503,5.2,Houli District,,,
,神岡區,14083,26,431,1022,,3839,4229,4536,5.0999999999999996,Shengang District,,,
,潭子區,30619,247,873,2966,,10060,8548,7925,4.8,Tanzi District,,,
,大雅區,22943,124,584,2462,,5140,6349,8284,5,Daya District,,,
,新社區,5923,58,439,644,,1471,1385,1926,4.8,Xinshe District,,,
,石岡區,3386,20,191,295,,689,853,1338,5.2,Shigang District,,,
,外埔區,7367,32,322,546,,1742,2001,2724,5.0999999999999996,Waipu District,,,
,大安區,4018,12,206,299,,841,1036,1624,5.2,Da'an District,,,
,烏日區,20612,93,915,2040,,5632,6099,5833,4.9000000000000004,Wuri District,,,
,大肚區,13328,45,450,771,,4255,4143,3664,4.9000000000000004,Dadu District,,,
,龍井區,18147,39,877,1560,,3987,5001,6683,5.0999999999999996,Longjing District,,,
,霧峰區,16013,1609,641,1075,,3363,4718,4607,4.5999999999999996,Wufeng District,,,
,太平區,52148,832,2100,6603,,15298,14662,12653,4.5999999999999996,Taiping District,,,
,大里區,57628,264,1226,4752,,18988,17099,15299,4.8,Dali District,,,
,和平區,2300,6,312,324,,733,438,487,4.4000000000000004,Heping District,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 臺中市有人經常居住住宅之房廳數（續）,,Table 45 Taichung City Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 臺中市有人經常居住住宅之房廳數（續）,表４５,臺中市,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Taichung City Number of Rooms of Occupied Housing Units(Cont.),Table 45,Taichung City,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,813500,11541,38677,77271,,216625,250220,219166,4.8,Grand Total,,,
,未滿６０平方公尺,64783,9742,21674,19189,,13033,982,163,2.6,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,331610,822,10830,38827,,127349,117950,35832,4.4000000000000004,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,241567,905,4521,11177,,46482,85435,93047,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,156451,72,1639,7845,,29031,43098,74766,5.5,180-Under 300 Square Meters,,,
,３００平方公尺以上,19089,-,13,233,,730,2755,15358,7.3,300 Square Meters and More,,,
