,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 臺中市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Taichung City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 臺中市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,臺中市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Taichung City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Taichung City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,臺中市,813500,83593,368192,184054,177661,1.4,,149875,319398,246024,98203,0.6,Taichung City
,中 區,5795,711,2512,1519,1053,1,,873,1569,2902,451,0.5,Central District
,東 區,25714,2562,11464,5847,5841,1.5,,4152,9947,8014,3601,0.7,East District
,南 區,43607,3270,19708,10165,10464,1.5,,6655,17187,13614,6151,0.6,South District
,西 區,41940,3271,17779,10057,10833,1.6,,6145,15232,14368,6195,0.7,West District
,北 區,53219,4175,22108,13828,13108,1.5,,7847,19742,18617,7013,0.7,North District
,西屯區,78932,6165,35502,18559,18706,1.4,,11713,30588,26021,10610,0.6,Xitun District
,南屯區,56865,4719,25653,13864,12629,1.5,,8388,23406,16680,8391,0.7,Nantun District
,北屯區,94662,7532,42835,23087,21208,1.6,,16032,38414,28154,12062,0.7,Beitun District
,豐原區,37889,4804,16601,8591,7893,1.2,,8567,14050,11367,3905,0.5,Fengyuan District
,東勢區,12969,1166,5181,3223,3399,1.6,,2402,4351,4636,1580,0.7,Dongshi District
,大甲區,18086,2397,7875,3680,4134,1.3,,4013,6445,5474,2154,0.6,Dajia District
,清水區,21874,2951,9353,4586,4984,1.4,,4870,8281,6064,2659,0.6,Qingshui District
,沙鹿區,26092,2754,12102,5468,5768,1.3,,4373,9722,8425,3572,0.6,Shalu District
,梧棲區,14711,1662,6683,3069,3297,1.4,,2542,5870,4247,2052,0.6,Wuqi District
,后里區,12630,1648,5687,2738,2557,1.3,,3026,5067,3514,1023,0.5,Houli District
,神岡區,14083,2123,6952,2664,2344,1.1000000000000001,,3430,5746,3715,1192,0.5,Shengang District
,潭子區,30619,4098,15234,5983,5304,1.3,,7386,12990,7558,2685,0.6,Tanzi District
,大雅區,22943,2677,11730,4492,4044,1.1000000000000001,,4692,10122,5987,2142,0.5,Daya District
,新社區,5923,709,2390,1428,1396,1.3,,1562,2067,1784,510,0.5,Xinshe District
,石岡區,3386,368,1418,770,830,1.4,,890,1202,966,328,0.5,Shigang District
,外埔區,7367,886,3374,1593,1514,1.2,,1677,2912,2001,777,0.5,Waipu District
,大安區,4018,564,1801,892,761,1.2,,963,1592,1144,319,0.5,Da'an District
,烏日區,20612,2325,10091,4164,4032,1.2,,4295,8440,5792,2085,0.5,Wuri District
,大肚區,13328,2024,6147,2634,2523,1.2,,3455,5303,3255,1315,0.5,Dadu District
,龍井區,18147,2447,8070,3791,3839,1.2,,3733,7055,5240,2119,0.6,Longjing District
,霧峰區,16013,2658,7389,3226,2740,1,,4000,5949,4807,1257,0.5,Wufeng District
,太平區,52148,6307,25025,10943,9873,1.3,,10748,21695,14569,5136,0.6,Taiping District
,大里區,57628,6398,26852,12565,11813,1.3,,10858,23790,16228,6752,0.6,Dali District
,和平區,2300,222,676,628,774,1.6,,588,664,881,167,0.5,Heping District
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 臺中市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,,"Table 46 Taichung City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６ 臺中市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６,臺中市,有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）
,,,Occupied Housing Units(Cont.),,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Taichung City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Taichung City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,813500,83593,368192,184054,177661,1.4,,149875,319398,246024,98203,0.6,Grand Total
