,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺北市５歲以上常住人口遷徙情形,,Table 20 Taipei City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 臺北市５歲以上常住人口遷徙情形,表２０,臺北市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Taipei City Migration Status of the Resident Population,Table 20,Taipei City,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺北市,2459827,1931157,205991,,100109,181297,41273,Taipei City
,松山區,175062,141111,14214,,7688,10063,1986,Songshan District
,信義區,209498,173474,15701,,7525,10333,2465,Xinyi District
,大安區,266143,198672,18836,,12548,27806,8281,Da'an District
,中山區,224941,168509,21621,,10678,19262,4871,Zhongshan District
,中正區,141711,108727,9745,,6889,13371,2979,Zhongzheng District
,大同區,109054,89033,9439,,4121,5125,1336,Datong District
,萬華區,172371,141569,14557,,6180,8830,1235,Wanhua District
,文山區,260102,198485,25454,,8636,23593,3934,Wenshan District
,南港區,120448,94412,9592,,7702,7122,1620,Nangang District
,內湖區,267272,217607,23533,,8799,14817,2516,Neihu District
,士林區,277422,215672,22452,,11887,20587,6824,Shilin District
,北投區,235803,183886,20847,,7456,20388,3226,Beitou District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 臺北市５歲以上常住人口遷徙情形（續１）,,Table 20 Taipei City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 臺北市５歲以上常住人口遷徙情形（續１）,表２０,臺北市,５歲以上常住人口遷徙情形（續１）
,,,Aged 5 Years and Over(Cont.1),,Table 20 Migration Status of the Resident Population,Table 20 Taipei City Migration Status of the Resident Population,Table 20,Taipei City,Migration Status of the Resident Population
,(2)男性,,(2)Male,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,臺北市,1161954,915427,96815,,46292,84167,19253,Taipei City
,松山區,78135,63926,6451,,3280,3624,854,Songshan District
,信義區,99306,82550,7579,,3414,4689,1074,Xinyi District
,大安區,125109,92360,9187,,5910,13694,3958,Da'an District
,中山區,105464,79516,9832,,4994,8635,2487,Zhongshan District
,中正區,68518,52370,5031,,3588,6319,1210,Zhongzheng District
,大同區,51151,42075,4157,,1889,2457,573,Datong District
,萬華區,82615,68319,6875,,2669,4260,492,Wanhua District
,文山區,124615,95113,12262,,3936,11445,1859,Wenshan District
,南港區,58972,45743,4690,,3848,3892,799,Nangang District
