,,民國109年,,,,,2020,,,,,,
,表３１ 臺北市住戶數、常住人口數及平均每戶人口數,,"Table 31 Taipei City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 臺北市住戶數、常住人口數及平均每戶人口數,表３１,臺北市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Taipei City Number of Households, Resident Population and Average",Table 31,Taipei City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,臺北市,938041,2594581,2.8,935990,,2488641,2.7,2051,105940,51.7,Taipei City,
,松山區,68009,184959,2.7,67846,,178170,2.6,163,6789,41.7,Songshan District,
,信義區,82767,219635,2.7,82600,,217104,2.6,167,2531,15.2,Xinyi District,
,大安區,100057,283096,2.8,99970,,262882,2.6,87,20214,232.3,Da'an District,
,中山區,97438,236457,2.4,97101,,225891,2.2999999999999998,337,10566,31.4,Zhongshan District,
,中正區,56914,150188,2.6,56725,,141273,2.5,189,8915,47.2,Zhongzheng District,
,大同區,43002,115513,2.7,42625,,112996,2.7,377,2517,6.7,Datong District,
,萬華區,72930,181122,2.5,72871,,180188,2.5,59,934,15.8,Wanhua District,
,文山區,95014,272715,2.9,94887,,260732,2.7,127,11983,94.4,Wenshan District,
,南港區,44509,127882,2.9,44405,,124582,2.8,104,3300,31.7,Nangang District,
,內湖區,97790,283100,2.9,97710,,278338,2.8,80,4762,59.5,Neihu District,
,士林區,98083,291846,3,97875,,275459,2.8,208,16387,78.8,Shilin District,
,北投區,81528,248068,3,81375,,231026,2.8,153,17042,111.4,Beitou District,
