,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 臺北市住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 臺北市住宅之建築類型,表４０,臺北市,住宅之建築類型
,Table 40 Taipei City Type of Building,,,,,Table 40 Type of Building,Table 40 Taipei City Type of Building,Table 40,Taipei City,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,臺北市,950496,24525,492289,307448,126234,,,,
,Taipei City,,,,,,,,,
,松山區,64249,442,27359,27059,9389,,,,
,Songshan District,,,,,,,,,
,信義區,79390,1970,44580,22845,9995,,,,
,Xinyi District,,,,,,,,,
,大安區,111460,3652,38542,48557,20709,,,,
,Da'an District,,,,,,,,,
,中山區,107888,2482,38498,46887,20021,,,,
,Zhongshan District,,,,,,,,,
,中正區,56395,1890,26472,22062,5971,,,,
,Zhongzheng District,,,,,,,,,
,大同區,49326,1500,26403,14922,6501,,,,
,Datong District,,,,,,,,,
,萬華區,72108,1330,42145,22498,6135,,,,
,Wanhua District,,,,,,,,,
,文山區,92284,2093,53903,22545,13743,,,,
,Wenshan District,,,,,,,,,
,南港區,40363,795,24328,9190,6050,,,,
,Nangang District,,,,,,,,,
,內湖區,94734,1190,53131,26463,13950,,,,
,Neihu District,,,,,,,,,
,士林區,95893,4262,62829,23304,5498,,,,
,Shilin District,,,,,,,,,
,北投區,86406,2919,54099,21116,8272,,,,
,Beitou District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 臺北市住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 臺北市住宅之建築類型,表４０,臺北市,住宅之建築類型
,Table 40 Taipei City Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Taipei City Type of Building,Table 40,Taipei City,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,950496,24525,492289,307448,126234,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,181729,7347,68559,75377,30446,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,584030,11636,338258,167689,66447,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,138615,3380,61778,51796,21661,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,42700,1797,21350,12081,7472,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,3422,365,2344,505,208,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,950496,24525,492289,307448,126234,,,,
,Grand Total,,,,,,,,,
,６９年以前,429239,18646,333129,69603,7861,,,,
,Before 1980,,,,,,,,,
,７０－７９年,263650,1521,120001,113461,28667,,,,
,1981-1990,,,,,,,,,
,８０－８９年,105185,1275,16127,58854,28929,,,,
,1991-2000,,,,,,,,,
,９０－９９年,95901,2190,6930,41625,45156,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,56521,893,16102,23905,15621,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,33337,651,9368,14986,8332,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,23184,242,6734,8919,7289,,,,
,2016-2020,,,,,,,,,
