,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 臺北市空閒住宅之竣工年份,,Table 41 Taipei City Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 臺北市空閒住宅之竣工年份,表４１,臺北市,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Taipei City Completion Year of Vacant Housing Units,Table 41,Taipei City,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,臺北市,142852,62455,30365,13761,,19358,16913,9285,7628,Taipei City,,
,松山區,9336,4327,3128,1012,,252,617,314,303,Songshan District,,
,信義區,11457,5033,2651,1264,,1682,827,351,476,Xinyi District,,
,大安區,14203,6999,4017,697,,1203,1287,577,710,Da'an District,,
,中山區,25931,9558,4572,1672,,6943,3186,1955,1231,Zhongshan District,,
,中正區,10245,5135,1794,844,,973,1499,954,545,Zhongzheng District,,
,大同區,7938,4524,1524,522,,818,550,326,224,Datong District,,
,萬華區,11853,7062,1541,1134,,417,1699,622,1077,Wanhua District,,
,文山區,10420,3898,1810,1869,,830,2013,974,1039,Wenshan District,,
,南港區,5723,2078,1151,543,,1008,943,793,150,Nangang District,,
,內湖區,10275,1732,3114,1852,,2071,1506,644,862,Neihu District,,
,士林區,14941,8249,2902,1001,,1421,1368,725,643,Shilin District,,
,北投區,10530,3860,2161,1351,,1740,1418,1050,368,Beitou District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
