,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 臺北市有人經常居住住宅之使用情形,,Table 43 Taipei City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 臺北市有人經常居住住宅之使用情形,表４３,臺北市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Taipei City Housing Usage of Occupied Housing Units,Table 43,Taipei City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,臺北市,754585,735700,18885,,833,18031,21,Taipei City,,,,,,,
,松山區,48933,47708,1225,,39,1186,0,Songshan District,,,,,,,
,信義區,64277,62942,1335,,63,1272,0,Xinyi District,,,,,,,
,大安區,92188,89993,2195,,71,2124,0,Da'an District,,,,,,,
,中山區,74957,72905,2052,,76,1976,0,Zhongshan District,,,,,,,
,中正區,41300,39994,1306,,55,1251,0,Zhongzheng District,,,,,,,
,大同區,38769,36850,1919,,85,1834,0,Datong District,,,,,,,
,萬華區,56400,55292,1108,,53,1055,0,Wanhua District,,,,,,,
,文山區,77472,75810,1662,,52,1610,0,Wenshan District,,,,,,,
,南港區,31847,31067,780,,63,717,0,Nangang District,,,,,,,
,內湖區,81046,79399,1647,,79,1568,0,Neihu District,,,,,,,
,士林區,74047,71906,2141,,143,1998,0,Shilin District,,,,,,,
,北投區,73349,71834,1515,,54,1440,21,Beitou District,,,,,,,
