,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 臺北市有人經常居住住宅之居住人數,,Table 44 Taipei City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 臺北市有人經常居住住宅之居住人數,表４４,臺北市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Taipei City Number of Persons of Occupied Housing Units,Table 44,Taipei City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,臺北市,754585,178159,183121,159671,,131264,52818,49552,3.3,Taipei City,,,
,松山區,48933,11467,12387,10667,,8054,3291,3067,3.6,Songshan District,,,
,信義區,64277,14955,15559,14567,,10491,4607,4098,3.4,Xinyi District,,,
,大安區,92188,21060,24185,19688,,16121,5805,5329,2.8,Da'an District,,,
,中山區,74957,24527,18594,13551,,10408,4076,3801,3,Zhongshan District,,,
,中正區,41300,10961,11219,8248,,6214,2434,2224,3.4,Zhongzheng District,,,
,大同區,38769,10238,8697,7412,,6553,3137,2732,2.9,Datong District,,,
,萬華區,56400,16823,13616,10401,,8320,3533,3707,3.2,Wanhua District,,,
,文山區,77472,16558,18839,17146,,15469,5040,4420,3.4,Wenshan District,,,
,南港區,31847,6440,7585,6801,,6334,2433,2254,3.9,Nangang District,,,
,內湖區,81046,14972,18174,19850,,16086,6166,5798,3.4,Neihu District,,,
,士林區,74047,14845,17384,15777,,13826,6386,5829,3.7,Shilin District,,,
,北投區,73349,15313,16882,15563,,13388,5910,6293,3.1,Beitou District,,,
