,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 臺北市有人經常居住住宅之房廳數,,Table 45 Taipei City Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 臺北市有人經常居住住宅之房廳數,表４５,臺北市,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Taipei City Number of Rooms of Occupied Housing Units,Table 45,Taipei City,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,臺北市,754585,15724,68049,109075,,231344,250213,80180,4.2,Taipei City,,,
,松山區,48933,759,3704,5820,,13781,19369,5500,4.3,Songshan District,,,
,信義區,64277,533,4388,7819,,21294,26281,3962,4.3,Xinyi District,,,
,大安區,92188,1451,6532,11746,,22633,36844,12982,4.4000000000000004,Da'an District,,,
,中山區,74957,3673,14479,11456,,17870,22059,5420,3.8,Zhongshan District,,,
,中正區,41300,749,4026,6496,,10975,14231,4823,4.2,Zhongzheng District,,,
,大同區,38769,2010,4907,7840,,11221,9727,3064,3.8,Datong District,,,
,萬華區,56400,2863,8240,13245,,19621,9444,2987,3.6,Wanhua District,,,
,文山區,77472,1235,5358,10525,,25870,23698,10786,4.3,Wenshan District,,,
,南港區,31847,231,1333,4645,,12996,9825,2817,4.3,Nangang District,,,
,內湖區,81046,769,4210,8428,,28252,30368,9019,4.4000000000000004,Neihu District,,,
,士林區,74047,703,6280,10821,,21367,25041,9835,4.3,Shilin District,,,
,北投區,73349,748,4592,10234,,25464,23326,8985,4.3,Beitou District,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 臺北市有人經常居住住宅之房廳數（續）,,Table 45 Taipei City Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 臺北市有人經常居住住宅之房廳數（續）,表４５,臺北市,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Taipei City Number of Rooms of Occupied Housing Units(Cont.),Table 45,Taipei City,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,754585,15724,68049,109075,,231344,250213,80180,4.2,Grand Total,,,
,未滿６０平方公尺,123171,14379,51550,36942,,19424,839,37,2.5,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,478509,984,12794,61525,,181408,187361,34437,4.4000000000000004,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,116925,342,3037,7680,,23452,49632,32782,4.9000000000000004,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,33621,19,657,2802,,6835,11779,11529,5.0999999999999996,180-Under 300 Square Meters,,,
,３００平方公尺以上,2359,-,11,126,,225,602,1395,6.7,300 Square Meters and More,,,
