,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 臺北市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Taipei City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 臺北市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,臺北市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Taipei City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Taipei City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,臺北市,754585,95108,341978,172293,145206,1.3,,214103,268775,211477,60230,0.5,Taipei City
,松山區,48933,5474,21359,12049,10051,1.2,,12409,18033,14058,4433,0.4,Songshan District
,信義區,64277,7361,29189,14966,12761,1.3,,19533,22302,17416,5026,0.5,Xinyi District
,大安區,92188,9706,40326,22453,19703,1.5,,20358,34153,27440,10237,0.6,Da'an District
,中山區,74957,8461,32418,20757,13321,1.3,,16996,24369,27497,6095,0.5,Zhongshan District
,中正區,41300,4487,17268,10296,9249,1.2,,10095,14379,12976,3850,0.5,Zhongzheng District
,大同區,38769,6469,18205,7520,6575,1.3,,12549,12885,10926,2409,0.5,Datong District
,萬華區,56400,9014,24776,12477,10133,1.1000000000000001,,18018,17877,17938,2567,0.4,Wanhua District
,文山區,77472,9061,36142,16547,15722,1.3,,22329,29597,19888,5658,0.5,Wenshan District
,南港區,31847,4326,14604,6754,6163,1.1000000000000001,,11032,11569,7088,2158,0.4,Nangang District
,內湖區,81046,10098,39163,17625,14160,1.3,,25449,30851,19143,5603,0.5,Neihu District
,士林區,74047,10336,34638,15896,13177,1.2,,21713,27433,18788,6113,0.5,Shilin District
,北投區,73349,10315,33890,14953,14191,1.4,,23622,25327,18319,6081,0.5,Beitou District
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 臺北市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,,"Table 46 Taipei City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６ 臺北市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６,臺北市,有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）
,,,Occupied Housing Units(Cont.),,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Taipei City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Taipei City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,754585,95108,341978,172293,145206,1.3,,214103,268775,211477,60230,0.5,Grand Total
,未滿６０平方公尺,123171,19623,47311,37530,18707,1.1000000000000001,,28681,31746,60766,1978,0.5,Under 60 Square Meters
,６０－未滿１２０平方公尺,478509,57156,228683,101199,91471,1.3,,148440,180862,110295,38912,0.5,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,116925,13272,50798,26779,26076,1.4,,28111,44090,30283,14441,0.5,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,33621,4269,14144,6493,8715,1.3,,7758,11416,9689,4758,0.6,180-Under 300 Square Meters
,３００平方公尺以上,2359,788,1042,292,237,0.9,,1113,661,444,141,0.4,300 Square Meters and More
