,,民國109年,,,,,2020,,,,,,
,表３１ 臺南市住戶數、常住人口數及平均每戶人口數,,"Table 31 Tainan City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 臺南市住戶數、常住人口數及平均每戶人口數,表３１,臺南市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Tainan City Number of Households, Resident Population and Average",Table 31,Tainan City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,臺南市,624795,1875076,3,618413,,1742434,2.8,6382,132642,20.8,Tainan City,
,新營區,25341,74145,2.9,25118,,69008,2.7,223,5137,23,Xinying District,
,鹽水區,8586,21699,2.5,8533,,20961,2.5,53,738,13.9,Yanshui District,
,白河區,8222,22153,2.7,8152,,20828,2.6,70,1325,18.899999999999999,Baihe District,
,柳營區,7079,20865,2.9,7009,,18775,2.7,70,2090,29.9,Liuying District,
,後壁區,7314,19353,2.6,7287,,19169,2.6,27,184,6.8,Houbi District,
,東山區,6110,15755,2.6,6084,,15022,2.5,26,733,28.2,Dongshan District,
,麻豆區,14106,40322,2.9,13963,,37492,2.7,143,2830,19.8,Madou District,
,下營區,6780,18962,2.8,6765,,18780,2.8,15,182,12.1,Xiaying District,
,六甲區,7033,19797,2.8,7024,,19003,2.7,9,794,88.2,Liujia District,
,官田區,7303,25758,3.5,7171,,20129,2.8,132,5629,42.6,Guantian District,
,大內區,2749,9005,3.3,2740,,7276,2.7,9,1729,192.1,Danei District,
,佳里區,18198,52986,2.9,18115,,51958,2.9,83,1028,12.4,Jiali District,
,學甲區,7530,20627,2.7,7486,,19930,2.7,44,697,15.8,Xuejia District,
,西港區,7685,24298,3.2,7617,,23466,3.1,68,832,12.2,Xigang District,
,七股區,6023,16497,2.7,5994,,16124,2.7,29,373,12.9,Qigu District,
,將軍區,5255,14898,2.8,5213,,13793,2.6,42,1105,26.3,Jiangjun District,
,北門區,3216,7691,2.4,3208,,7509,2.2999999999999998,8,182,22.8,Beimen District,
,新化區,14403,43343,3,14292,,41004,2.9,111,2339,21.1,Xinhua District,
,善化區,19632,58556,3,19479,,54920,2.8,153,3636,23.8,Shanhua District,
,新市區,16889,53501,3.2,16683,,44996,2.7,206,8505,41.3,Xinshi District,
,安定區,9370,29308,3.1,9270,,28168,3,100,1140,11.4,Anding District,
,山上區,2213,7605,3.4,2161,,5939,2.7,52,1666,32,Shanshang District,
,玉井區,4723,12663,2.7,4695,,11672,2.5,28,991,35.4,Yujing District,
,楠西區,2977,7553,2.5,2969,,7458,2.5,8,95,11.9,Nanxi District,
,南化區,2227,5919,2.7,2216,,5855,2.6,11,64,5.8,Nanhua District,
,左鎮區,1194,2974,2.5,1182,,2844,2.4,12,130,10.8,Zuozhen District,
,仁德區,26371,88162,3.3,25971,,75377,2.9,400,12785,32,Rende District,
,歸仁區,22006,84630,3.8,21006,,67489,3.2,1000,17141,17.100000000000001,Guiren District,
,關廟區,10344,32161,3.1,10235,,30728,3,109,1433,13.1,Guanmiao District,
,龍崎區,763,1743,2.2999999999999998,754,,1706,2.2999999999999998,9,37,4.0999999999999996,Longqi District,
,永康區,84426,274642,3.3,82294,,242627,2.9,2132,32015,15,Yongkang District,
,東 區,61642,170268,2.8,61564,,164281,2.7,78,5987,76.8,East District,
,南 區,41676,119849,2.9,41442,,115168,2.8,234,4681,20,South District,
,北 區,44695,122993,2.8,44613,,120742,2.7,82,2251,27.5,North District,
,安南區,58896,197805,3.4,58403,,189013,3.2,493,8792,17.8,Annan District,
,安平區,23615,64408,2.7,23565,,63760,2.7,50,648,13,Anping District,
,中西區,28203,72182,2.6,28140,,69464,2.5,63,2718,43.1,West Central District,
