,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 臺南市普通住戶之戶內人口數,,Table 32 Tainan City Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 臺南市普通住戶之戶內人口數,表３２,臺南市,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Tainan City Number of Persons of Ordinary Households,Table 32,Tainan City,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,臺南市,618413,158218,155244,128517,,101172,41869,33393,2.8,Tainan City
,新營區,25118,6587,7115,4891,,3894,1319,1312,2.7,Xinying District
,鹽水區,8533,3023,2166,1570,,1040,404,330,2.5,Yanshui District
,白河區,8152,2497,2458,1517,,751,479,450,2.6,Baihe District
,柳營區,7009,2073,1837,1356,,880,457,406,2.7,Liuying District
,後壁區,7287,2216,2158,1195,,706,556,456,2.6,Houbi District
,東山區,6084,2064,1865,904,,645,278,328,2.5,Dongshan District
,麻豆區,13963,3941,4039,2386,,1756,1014,827,2.7,Madou District
,下營區,6765,1822,1799,1249,,961,451,483,2.8,Xiaying District
,六甲區,7024,1919,1904,1392,,966,458,385,2.7,Liujia District
,官田區,7171,1753,1880,1495,,1050,566,427,2.8,Guantian District
,大內區,2740,864,736,448,,331,174,187,2.7,Danei District
,佳里區,18115,4182,4849,3889,,2711,1425,1059,2.9,Jiali District
,學甲區,7486,2163,2101,1299,,936,576,411,2.7,Xuejia District
,西港區,7617,1603,1862,1484,,1270,675,723,3.1,Xigang District
,七股區,5994,1835,1598,1091,,696,362,412,2.7,Qigu District
,將軍區,5213,1527,1469,990,,652,235,340,2.6,Jiangjun District
,北門區,3208,1282,872,457,,290,160,147,2.2999999999999998,Beimen District
,新化區,14292,3873,3336,2822,,2175,1004,1082,2.9,Xinhua District
,善化區,19479,4881,5223,3805,,3348,1259,963,2.8,Shanhua District
,新市區,16683,4975,4218,3228,,2417,926,919,2.7,Xinshi District
,安定區,9270,2083,2202,1783,,1597,860,745,3,Anding District
,山上區,2161,581,554,444,,296,175,111,2.7,Shanshang District
,玉井區,4695,1514,1422,855,,449,246,209,2.5,Yujing District
,楠西區,2969,892,998,469,,315,184,111,2.5,Nanxi District
,南化區,2216,642,681,393,,225,132,143,2.6,Nanhua District
,左鎮區,1182,489,337,156,,93,57,50,2.4,Zuozhen District
,仁德區,25971,5895,6078,6094,,4831,1748,1325,2.9,Rende District
,歸仁區,21006,3798,4540,4879,,3780,2000,2009,3.2,Guiren District
,關廟區,10235,2320,2552,1933,,1698,859,873,3,Guanmiao District
,龍崎區,754,313,232,90,,63,34,22,2.2999999999999998,Longqi District
,永康區,82294,18553,19029,18351,,15932,6333,4096,2.9,Yongkang District
,東 區,61564,16058,17077,13247,,10138,3189,1855,2.7,East District
,南 區,41442,10622,10527,9020,,6366,2971,1936,2.8,South District
,北 區,44613,13226,10746,8887,,6976,2764,2014,2.7,North District
,安南區,58403,9616,11961,14229,,13454,4649,4494,3.2,Annan District
,安平區,23565,6497,5975,4909,,3798,1507,879,2.7,Anping District
,中西區,28140,10039,6848,5310,,3686,1383,874,2.5,West Central District
