,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 臺南市普通住戶之住宅所有權屬,,Table 34 Tainan City Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 臺南市普通住戶之住宅所有權屬,表３４,臺南市,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Tainan City Home Ownership of Ordinary Households,Table 34,Tainan City,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,臺南市,616599,493095,37326,,60366,25812,Tainan City,,,,,,,,
,新營區,25019,20627,1419,,2134,839,Xinying District,,,,,,,,
,鹽水區,8511,6780,800,,524,407,Yanshui District,,,,,,,,
,白河區,8116,6916,426,,356,418,Baihe District,,,,,,,,
,柳營區,7004,5707,669,,354,274,Liuying District,,,,,,,,
,後壁區,7277,6344,406,,233,294,Houbi District,,,,,,,,
,東山區,6081,4557,927,,287,310,Dongshan District,,,,,,,,
,麻豆區,13939,11438,1280,,749,472,Madou District,,,,,,,,
,下營區,6745,5757,580,,204,204,Xiaying District,,,,,,,,
,六甲區,7006,5967,524,,347,168,Liujia District,,,,,,,,
,官田區,7134,6281,374,,328,151,Guantian District,,,,,,,,
,大內區,2732,2077,321,,159,175,Danei District,,,,,,,,
,佳里區,18106,15326,903,,1079,798,Jiali District,,,,,,,,
,學甲區,7467,6130,474,,382,481,Xuejia District,,,,,,,,
,西港區,7558,6398,500,,395,265,Xigang District,,,,,,,,
,七股區,5991,5115,336,,223,317,Qigu District,,,,,,,,
,將軍區,5207,4207,402,,241,357,Jiangjun District,,,,,,,,
,北門區,3204,2365,364,,91,384,Beimen District,,,,,,,,
,新化區,14197,10939,1003,,1464,791,Xinhua District,,,,,,,,
,善化區,19377,15749,1156,,1681,791,Shanhua District,,,,,,,,
,新市區,16654,12253,928,,2879,594,Xinshi District,,,,,,,,
,安定區,9252,7993,370,,442,447,Anding District,,,,,,,,
,山上區,2141,1832,178,,80,51,Shanshang District,,,,,,,,
,玉井區,4682,3546,307,,599,230,Yujing District,,,,,,,,
,楠西區,2965,2348,171,,275,171,Nanxi District,,,,,,,,
,南化區,2204,1833,108,,110,153,Nanhua District,,,,,,,,
,左鎮區,1171,973,75,,77,46,Zuozhen District,,,,,,,,
,仁德區,25841,20706,2348,,1829,958,Rende District,,,,,,,,
,歸仁區,20820,17288,1326,,1636,570,Guiren District,,,,,,,,
,關廟區,10196,8740,801,,447,208,Guanmiao District,,,,,,,,
,龍崎區,750,648,29,,24,49,Longqi District,,,,,,,,
,永康區,81943,65718,3195,,10276,2754,Yongkang District,,,,,,,,
,東 區,61456,48358,3831,,6475,2792,East District,,,,,,,,
,南 區,41394,33180,1906,,3877,2431,South District,,,,,,,,
,北 區,44553,32503,2908,,7704,1438,North District,,,,,,,,
,安南區,58340,48490,3027,,4372,2451,Annan District,,,,,,,,
,安平區,23512,18248,1172,,3013,1079,Anping District,,,,,,,,
,中西區,28054,19758,1782,,5020,1494,West Central District,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
