,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 臺南市住宅使用情形,,Table 37 Tainan City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 臺南市住宅使用情形,表３７,臺南市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Tainan City Housing Usage Status,Table 37,Tainan City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,臺南市,712130,561453,150677,,31780,33094,85803,Tainan City,,,,,
,新營區,31112,24595,6517,,1189,1098,4230,Xinying District,,,,,
,鹽水區,9466,6550,2916,,549,151,2216,Yanshui District,,,,,
,白河區,9882,6890,2992,,820,374,1798,Baihe District,,,,,
,柳營區,7438,5837,1601,,349,264,988,Liuying District,,,,,
,後壁區,8214,6146,2068,,716,262,1090,Houbi District,,,,,
,東山區,5597,4093,1504,,759,252,493,Dongshan District,,,,,
,麻豆區,15529,11264,4265,,976,1106,2183,Madou District,,,,,
,下營區,8120,6636,1484,,507,225,752,Xiaying District,,,,,
,六甲區,7783,5420,2363,,525,687,1151,Liujia District,,,,,
,官田區,8074,6007,2067,,661,222,1184,Guantian District,,,,,
,大內區,3244,2395,849,,274,122,453,Danei District,,,,,
,佳里區,20390,16362,4028,,693,826,2509,Jiali District,,,,,
,學甲區,9015,6742,2273,,655,314,1304,Xuejia District,,,,,
,西港區,7736,6687,1049,,130,168,751,Xigang District,,,,,
,七股區,6224,4650,1574,,697,138,739,Qigu District,,,,,
,將軍區,6055,4532,1523,,536,213,774,Jiangjun District,,,,,
,北門區,3382,2472,910,,356,28,526,Beimen District,,,,,
,新化區,12201,9663,2538,,694,863,981,Xinhua District,,,,,
,善化區,20094,15303,4791,,1429,1187,2175,Shanhua District,,,,,
,新市區,14938,12024,2914,,781,517,1616,Xinshi District,,,,,
,安定區,10656,9153,1503,,297,413,793,Anding District,,,,,
,山上區,2224,1831,393,,105,41,247,Shanshang District,,,,,
,玉井區,5587,3908,1679,,302,370,1007,Yujing District,,,,,
,楠西區,3345,2356,989,,293,189,507,Nanxi District,,,,,
,南化區,2391,1772,619,,321,49,249,Nanhua District,,,,,
,左鎮區,1526,1040,486,,258,75,153,Zuozhen District,,,,,
,仁德區,34420,25720,8700,,966,1562,6172,Rende District,,,,,
,歸仁區,21437,18589,2848,,602,1250,996,Guiren District,,,,,
,關廟區,10792,8920,1872,,377,598,897,Guanmiao District,,,,,
,龍崎區,1127,680,447,,235,43,169,Longqi District,,,,,
,永康區,93413,77188,16225,,3048,3931,9246,Yongkang District,,,,,
,東 區,77783,57461,20322,,4261,4865,11196,East District,,,,,
,南 區,47229,39389,7840,,1079,1418,5343,South District,,,,,
,北 區,54427,44457,9970,,1617,2214,6139,North District,,,,,
,安南區,63354,56358,6996,,1702,2058,3236,Annan District,,,,,
,安平區,30548,23463,7085,,1304,1539,4242,Anping District,,,,,
,中西區,37377,24900,12477,,1717,3462,7298,West Central District,,,,,
