,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 臺南市住宅之樓地板面積,,Table 39 Tainan City Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 臺南市住宅之樓地板面積,表３９,臺南市,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Tainan City Total Floor Area of Housing Units,Table 39,Tainan City,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,臺南市,712130,72122,240886,,248271,136833,14018,136.30000000000001,Tainan City,,
,新營區,31112,3068,6650,,12448,7965,981,151.69999999999999,Xinying District,,
,鹽水區,9466,987,2667,,3925,1787,100,136.19999999999999,Yanshui District,,
,白河區,9882,1187,3362,,3338,1722,273,136.5,Baihe District,,
,柳營區,7438,765,1719,,2758,1885,311,152.69999999999999,Liuying District,,
,後壁區,8214,896,2413,,2780,1860,265,143.80000000000001,Houbi District,,
,東山區,5597,699,1742,,1888,1127,141,138.30000000000001,Dongshan District,,
,麻豆區,15529,1384,5451,,4562,3828,304,141.30000000000001,Madou District,,
,下營區,8120,784,2120,,2768,2224,224,150,Xiaying District,,
,六甲區,7783,847,1928,,2746,1988,274,150.4,Liujia District,,
,官田區,8074,1430,1873,,2917,1664,190,136.1,Guantian District,,
,大內區,3244,604,1120,,896,536,88,128.19999999999999,Danei District,,
,佳里區,20390,1538,5082,,8246,5127,397,146.5,Jiali District,,
,學甲區,9015,1312,2412,,2986,2089,216,139.6,Xuejia District,,
,西港區,7736,630,1741,,3257,1877,231,148.6,Xigang District,,
,七股區,6224,1006,2122,,1899,1059,138,128.19999999999999,Qigu District,,
,將軍區,6055,928,2125,,1836,1053,113,129.1,Jiangjun District,,
,北門區,3382,474,1346,,923,580,59,124.8,Beimen District,,
,新化區,12201,1827,4424,,4320,1442,188,120.7,Xinhua District,,
,善化區,20094,2878,6533,,6488,3764,431,133,Shanhua District,,
,新市區,14938,1738,4128,,4974,3779,319,143.1,Xinshi District,,
,安定區,10656,660,1899,,4901,2695,501,161.1,Anding District,,
,山上區,2224,258,660,,807,471,28,137.4,Shanshang District,,
,玉井區,5587,696,1842,,1964,972,113,132.30000000000001,Yujing District,,
,楠西區,3345,670,1120,,1069,452,34,119.1,Nanxi District,,
,南化區,2391,495,1034,,541,300,21,110.4,Nanhua District,,
,左鎮區,1526,460,609,,317,119,21,100.2,Zuozhen District,,
,仁德區,34420,2538,12631,,13934,4851,466,132.30000000000001,Rende District,,
,歸仁區,21437,1210,6375,,9427,3992,433,144.4,Guiren District,,
,關廟區,10792,575,3134,,4803,2062,218,143.80000000000001,Guanmiao District,,
,龍崎區,1127,260,582,,199,81,5,98.9,Longqi District,,
,永康區,93413,9254,36008,,32322,14929,900,128.19999999999999,Yongkang District,,
,東 區,77783,7565,30569,,24619,13813,1217,132.1,East District,,
,南 區,47229,3723,19234,,16219,7563,490,128.69999999999999,South District,,
,北 區,54427,7294,19362,,15070,11505,1196,134.1,North District,,
,安南區,63354,1456,17474,,31545,12249,630,146.19999999999999,Annan District,,
,安平區,30548,2917,13206,,6926,6281,1218,139.4,Anping District,,
,中西區,37377,7109,14189,,7653,7142,1284,128.80000000000001,West Central District,,
