,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 臺南市有人經常居住住宅之使用情形,,Table 43 Tainan City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 臺南市有人經常居住住宅之使用情形,表４３,臺南市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Tainan City Housing Usage of Occupied Housing Units,Table 43,Tainan City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,臺南市,561453,526846,34607,,5495,28184,928,Tainan City,,,,,,,
,新營區,24595,22941,1654,,279,1331,44,Xinying District,,,,,,,
,鹽水區,6550,6424,126,,15,107,4,Yanshui District,,,,,,,
,白河區,6890,6631,259,,7,177,75,Baihe District,,,,,,,
,柳營區,5837,5611,226,,38,148,40,Liuying District,,,,,,,
,後壁區,6146,5884,262,,21,188,53,Houbi District,,,,,,,
,東山區,4093,3938,155,,6,98,51,Dongshan District,,,,,,,
,麻豆區,11264,10276,988,,58,903,27,Madou District,,,,,,,
,下營區,6636,6444,192,,26,118,48,Xiaying District,,,,,,,
,六甲區,5420,5182,238,,21,193,24,Liujia District,,,,,,,
,官田區,6007,5756,251,,26,159,66,Guantian District,,,,,,,
,大內區,2395,2300,95,,4,82,9,Danei District,,,,,,,
,佳里區,16362,15213,1149,,61,1088,0,Jiali District,,,,,,,
,學甲區,6742,6114,628,,6,589,33,Xuejia District,,,,,,,
,西港區,6687,6504,183,,44,106,33,Xigang District,,,,,,,
,七股區,4650,4434,216,,50,120,46,Qigu District,,,,,,,
,將軍區,4532,4386,146,,16,114,16,Jiangjun District,,,,,,,
,北門區,2472,2439,33,,3,26,4,Beimen District,,,,,,,
,新化區,9663,9401,262,,28,213,21,Xinhua District,,,,,,,
,善化區,15303,14451,852,,58,774,20,Shanhua District,,,,,,,
,新市區,12024,11492,532,,87,417,28,Xinshi District,,,,,,,
,安定區,9153,8659,494,,199,283,12,Anding District,,,,,,,
,山上區,1831,1789,42,,10,27,5,Shanshang District,,,,,,,
,玉井區,3908,3593,315,,8,282,25,Yujing District,,,,,,,
,楠西區,2356,2247,109,,3,98,8,Nanxi District,,,,,,,
,南化區,1772,1579,193,,2,58,133,Nanhua District,,,,,,,
,左鎮區,1040,968,72,,2,40,30,Zuozhen District,,,,,,,
,仁德區,25720,24406,1314,,249,1040,25,Rende District,,,,,,,
,歸仁區,18589,17752,837,,114,723,0,Guiren District,,,,,,,
,關廟區,8920,8549,371,,48,305,18,Guanmiao District,,,,,,,
,龍崎區,680,673,7,,1,4,2,Longqi District,,,,,,,
,永康區,77188,72499,4689,,2083,2606,0,Yongkang District,,,,,,,
,東 區,57461,53593,3868,,32,3836,0,East District,,,,,,,
,南 區,39389,36925,2464,,140,2324,0,South District,,,,,,,
,北 區,44457,41185,3272,,290,2982,0,North District,,,,,,,
,安南區,56358,52406,3952,,1312,2612,28,Annan District,,,,,,,
,安平區,23463,22230,1233,,86,1147,0,Anping District,,,,,,,
,中西區,24900,21972,2928,,62,2866,0,West Central District,,,,,,,
