,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 臺南市有人經常居住住宅之居住人數,,Table 44 Tainan City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 臺南市有人經常居住住宅之居住人數,表４４,臺南市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Tainan City Number of Persons of Occupied Housing Units,Table 44,Tainan City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,臺南市,561453,119535,139788,120163,,97926,42955,41086,3.1,Tainan City,,,
,新營區,24595,5727,6747,4948,,3967,1616,1590,2.8,Xinying District,,,
,鹽水區,6550,1887,1701,1341,,820,371,430,3.2,Yanshui District,,,
,白河區,6890,1843,1973,1317,,746,443,568,3,Baihe District,,,
,柳營區,5837,1372,1435,1234,,802,470,524,3.2,Liuying District,,,
,後壁區,6146,1694,1691,1067,,617,510,567,3.1,Houbi District,,,
,東山區,4093,1025,1164,717,,496,281,410,3.7,Dongshan District,,,
,麻豆區,11264,2513,3203,2085,,1654,861,948,3.3,Madou District,,,
,下營區,6636,1501,1732,1294,,968,509,632,2.8,Xiaying District,,,
,六甲區,5420,1231,1503,1039,,784,417,446,3.5,Liujia District,,,
,官田區,6007,1317,1598,1262,,857,508,465,3.3,Guantian District,,,
,大內區,2395,592,685,418,,289,169,242,3,Danei District,,,
,佳里區,16362,3144,4346,3654,,2553,1393,1272,3.2,Jiali District,,,
,學甲區,6742,1691,1879,1163,,880,590,539,3,Xuejia District,,,
,西港區,6687,1153,1561,1339,,1171,682,781,3.5,Xigang District,,,
,七股區,4650,1171,1174,855,,629,384,437,3.5,Qigu District,,,
,將軍區,4532,1109,1250,926,,583,272,392,3,Jiangjun District,,,
,北門區,2472,722,613,374,,283,196,284,3,Beimen District,,,
,新化區,9663,2024,2165,2062,,1662,711,1039,4.2,Xinhua District,,,
,善化區,15303,3255,3939,3147,,2769,1183,1010,3.6,Shanhua District,,,
,新市區,12024,2638,2782,2605,,2067,849,1083,3.7,Xinshi District,,,
,安定區,9153,1605,2099,1852,,1699,967,931,3.1,Anding District,,,
,山上區,1831,398,467,367,,272,181,146,3.2,Shanshang District,,,
,玉井區,3908,1124,1219,758,,374,213,220,3,Yujing District,,,
,楠西區,2356,638,793,405,,246,152,122,3.2,Nanxi District,,,
,南化區,1772,472,548,327,,190,103,132,3.3,Nanhua District,,,
,左鎮區,1040,361,307,151,,99,59,63,2.7,Zuozhen District,,,
,仁德區,25720,4421,5794,6441,,4999,1983,2082,2.9,Rende District,,,
,歸仁區,18589,2738,3843,4361,,3425,2024,2198,3.6,Guiren District,,,
,關廟區,8920,1611,2198,1712,,1626,837,936,3.4,Guanmiao District,,,
,龍崎區,680,245,220,86,,63,31,35,2.5,Longqi District,,,
,永康區,77188,14688,18195,17314,,15744,6322,4925,3.1,Yongkang District,,,
,東 區,57461,13267,16155,12370,,9706,3444,2519,2.9,East District,,,
,南 區,39389,8234,10281,8622,,6609,3101,2542,2.9,South District,,,
,北 區,44457,11435,10850,9156,,7470,3047,2499,2.7,North District,,,
,安南區,56358,7511,11318,13576,,13245,4920,5788,3.4,Annan District,,,
,安平區,23463,5625,6201,4954,,3928,1617,1138,2.7,Anping District,,,
,中西區,24900,7553,6159,4864,,3634,1539,1151,2.8,West Central District,,,
