,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 臺南市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Tainan City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 臺南市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,臺南市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Tainan City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Tainan City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,臺南市,561453,49673,239474,133985,138321,1.6,,83236,205736,192479,80002,0.7,Tainan City
,新營區,24595,1707,9079,6370,7439,1.8,,2529,8092,9654,4320,0.9,Xinying District
,鹽水區,6550,509,2340,1543,2158,1.5,,953,1872,2338,1387,0.7,Yanshui District
,白河區,6890,607,2359,1697,2227,1.6,,1530,2397,2228,735,0.6,Baihe District
