,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 臺東縣住宅之竣工年份,,Table 38 Taitung County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 臺東縣住宅之竣工年份,表３８,臺東縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Taitung County Completion Year of Construction of Housing Units,Table 38,Taitung County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,臺東縣,78293,30171,13957,17632,,8606,7927,3380,4547,Taitung County,,
,臺東市,38448,13104,6973,9696,,4538,4137,1299,2838,Taitung City,,
,成功鎮,5168,2323,1134,912,,431,368,193,175,Chenggong Township,,
,關山鎮,3019,1561,511,431,,244,272,87,185,Guanshan Township,,
,卑南鄉,7111,2036,826,3092,,581,576,368,208,Beinan Township,,
,鹿野鄉,2799,1389,537,443,,213,217,72,145,Luye Township,,
,池上鄉,3071,1680,345,593,,240,213,108,105,Chishang Township,,
,東河鄉,3406,1445,691,572,,313,385,254,131,Donghe Township,,
,長濱鄉,3165,1491,608,382,,419,265,192,73,Changbin Township,,
,太麻里鄉,4160,1986,739,605,,420,410,225,185,Taimali Township,,
,大武鄉,2385,1298,341,292,,197,257,162,95,Dawu Township,,
,綠島鄉,625,306,54,71,,115,79,35,44,Lüdao Township,,
,海端鄉,993,439,170,171,,127,86,32,54,Haiduan Township,,
,延平鄉,808,417,85,93,,84,129,40,89,Yanping Township,,
,金峰鄉,839,276,81,81,,182,219,179,40,Jinfeng Township,,
,達仁鄉,1115,34,774,96,,108,103,47,56,Daren Township,,
,蘭嶼鄉,1181,386,88,102,,394,211,87,124,Lanyu Township,,
