,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 臺東縣住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 臺東縣住宅之建築類型,表４０,臺東縣,住宅之建築類型
,Table 40 Taitung County Type of Building,,,,,Table 40 Type of Building,Table 40 Taitung County Type of Building,Table 40,Taitung County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,臺東縣,78293,18129,55484,4366,314,,,,
,Taitung County,,,,,,,,,
,臺東市,38448,7809,28025,2328,286,,,,
,Taitung City,,,,,,,,,
,成功鎮,5168,1346,3819,3,0,,,,
,Chenggong Township,,,,,,,,,
,關山鎮,3019,558,2461,0,0,,,,
,Guanshan Township,,,,,,,,,
,卑南鄉,7111,1267,3814,2002,28,,,,
,Beinan Township,,,,,,,,,
,鹿野鄉,2799,707,2090,2,0,,,,
,Luye Township,,,,,,,,,
,池上鄉,3071,567,2480,24,0,,,,
,Chishang Township,,,,,,,,,
,東河鄉,3406,1059,2344,3,0,,,,
,Donghe Township,,,,,,,,,
,長濱鄉,3165,993,2172,0,0,,,,
,Changbin Township,,,,,,,,,
,太麻里鄉,4160,1126,3030,4,0,,,,
,Taimali Township,,,,,,,,,
,大武鄉,2385,737,1648,0,0,,,,
,Dawu Township,,,,,,,,,
,綠島鄉,625,182,443,0,0,,,,
,Lüdao Township,,,,,,,,,
,海端鄉,993,392,601,0,0,,,,
,Haiduan Township,,,,,,,,,
,延平鄉,808,228,580,0,0,,,,
,Yanping Township,,,,,,,,,
,金峰鄉,839,266,573,0,0,,,,
,Jinfeng Township,,,,,,,,,
,達仁鄉,1115,401,714,0,0,,,,
,Daren Township,,,,,,,,,
,蘭嶼鄉,1181,491,690,0,0,,,,
,Lanyu Township,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 臺東縣住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 臺東縣住宅之建築類型,表４０,臺東縣,住宅之建築類型
,Table 40 Taitung County Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Taitung County Type of Building,Table 40,Taitung County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,78293,18129,55484,4366,314,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,15651,5597,8824,1210,20,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,27760,7295,18045,2140,280,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,21434,3511,17259,657,7,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,12637,1618,10687,325,7,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,811,108,669,34,-,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,78293,18129,55484,4366,314,,,,
,Grand Total,,,,,,,,,
,６９年以前,30171,4613,25558,0,0,,,,
,Before 1980,,,,,,,,,
,７０－７９年,13957,3970,9961,26,0,,,,
,1981-1990,,,,,,,,,
,８０－８９年,17632,3449,9853,4016,314,,,,
,1991-2000,,,,,,,,,
,９０－９９年,8606,2865,5558,183,0,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,7927,3232,4554,141,0,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,3380,1849,1531,0,0,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,4547,1383,3023,141,0,,,,
,2016-2020,,,,,,,,,
