,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 臺東縣空閒住宅之竣工年份,,Table 41 Taitung County Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 臺東縣空閒住宅之竣工年份,表４１,臺東縣,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Taitung County Completion Year of Vacant Housing Units,Table 41,Taitung County,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,臺東縣,21074,7810,3559,4792,,1969,2944,802,2142,Taitung County,,
,臺東市,8108,2225,1289,2105,,681,1808,182,1626,Taitung City,,
,成功鎮,2041,968,404,359,,155,155,89,66,Chenggong Township,,
,關山鎮,747,378,139,91,,59,80,12,68,Guanshan Township,,
,卑南鄉,2489,701,345,1112,,190,141,80,61,Beinan Township,,
,鹿野鄉,642,305,120,118,,35,64,25,39,Luye Township,,
,池上鄉,944,503,102,154,,126,59,33,26,Chishang Township,,
,東河鄉,1276,533,242,221,,131,149,86,63,Donghe Township,,
,長濱鄉,985,500,180,123,,114,68,46,22,Changbin Township,,
,太麻里鄉,1257,589,196,208,,149,115,67,48,Taimali Township,,
,大武鄉,1054,575,147,126,,84,122,81,41,Dawu Township,,
,綠島鄉,128,73,9,18,,16,12,7,5,Lüdao Township,,
,海端鄉,279,145,50,41,,24,19,8,11,Haiduan Township,,
,延平鄉,246,126,32,28,,31,29,12,17,Yanping Township,,
,金峰鄉,199,54,22,21,,56,46,34,12,Jinfeng Township,,
,達仁鄉,382,8,262,36,,45,31,19,12,Daren Township,,
,蘭嶼鄉,297,127,20,31,,73,46,21,25,Lanyu Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
