,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 臺東縣空閒住宅之樓地板面積,,Table 42 Taitung County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 臺東縣空閒住宅之樓地板面積,表４２,臺東縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Taitung County Total Floor Area of Vacant Housing Units,Table 42,Taitung County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,臺東縣,21074,6116,8443,,4096,2307,112,101.5,Taitung County,,
,臺東市,8108,1931,3527,,1556,1046,48,106.1,Taitung City,,
,成功鎮,2041,550,809,,473,203,6,102.4,Chenggong Township,,
,關山鎮,747,234,237,,195,81,0,104.6,Guanshan Township,,
,卑南鄉,2489,957,920,,385,211,16,92.4,Beinan Township,,
,鹿野鄉,642,148,272,,147,68,7,106.9,Luye Township,,
,池上鄉,944,258,391,,214,81,0,100.3,Chishang Township,,
,東河鄉,1276,402,503,,244,122,5,98.8,Donghe Township,,
,長濱鄉,985,222,385,,233,136,9,111.6,Changbin Township,,
,太麻里鄉,1257,392,438,,261,155,11,104.5,Taimali Township,,
,大武鄉,1054,477,359,,150,66,2,83.3,Dawu Township,,
,綠島鄉,128,60,49,,5,10,4,86.7,Lüdao Township,,
,海端鄉,279,63,129,,56,31,0,103.2,Haiduan Township,,
,延平鄉,246,79,105,,45,15,2,94.9,Yanping Township,,
,金峰鄉,199,73,73,,30,23,0,96.9,Jinfeng Township,,
,達仁鄉,382,162,138,,52,29,1,86.4,Daren Township,,
,蘭嶼鄉,297,108,108,,50,30,1,96.5,Lanyu Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
