,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 臺東縣有人經常居住住宅之房廳數,,Table 45 Taitung County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 臺東縣有人經常居住住宅之房廳數,表４５,臺東縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Taitung County Number of Rooms of Occupied Housing Units,Table 45,Taitung County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,臺東縣,54099,916,5498,7083,,15784,11518,13300,4.5,Taitung County,,,
,臺東市,28686,528,2068,3094,,8277,7156,7563,4.5999999999999996,Taitung City,,,
,成功鎮,3027,32,250,378,,1031,674,662,4.5,Chenggong Township,,,
,關山鎮,2056,32,261,248,,556,448,511,4.5,Guanshan Township,,,
,卑南鄉,4479,101,549,860,,1525,670,774,4.2,Beinan Township,,,
,鹿野鄉,1995,12,302,295,,497,343,546,4.5,Luye Township,,,
,池上鄉,1959,8,239,246,,524,342,600,4.7,Chishang Township,,,
,東河鄉,1937,34,334,268,,507,307,487,4.4000000000000004,Donghe Township,,,
,長濱鄉,2130,11,323,227,,519,359,691,4.8,Changbin Township,,,
,太麻里鄉,2679,55,316,495,,847,426,540,4.3,Taimali Township,,,
,大武鄉,1208,31,210,229,,352,192,194,4,Dawu Township,,,
,綠島鄉,489,5,72,76,,166,77,93,4.4000000000000004,Lüdao Township,,,
,海端鄉,714,5,76,102,,231,123,177,4.5,Haiduan Township,,,
,延平鄉,561,7,61,105,,194,112,82,4.2,Yanping Township,,,
,金峰鄉,634,4,79,67,,170,129,185,4.5999999999999996,Jinfeng Township,,,
,達仁鄉,702,19,149,126,,196,86,126,4,Daren Township,,,
,蘭嶼鄉,843,32,209,267,,192,74,69,3.4,Lanyu Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 臺東縣有人經常居住住宅之房廳數（續）,,Table 45 Taitung County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 臺東縣有人經常居住住宅之房廳數（續）,表４５,臺東縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Taitung County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Taitung County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,54099,916,5498,7083,,15784,11518,13300,4.5,Grand Total,,,
,未滿６０平方公尺,8850,822,3113,1983,,2582,335,15,2.8,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,18110,69,1730,3187,,6724,3720,2680,4.2,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,16604,25,516,1258,,4534,5093,5178,5,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,9875,-,128,630,,1894,2320,4903,5.5,180-Under 300 Square Meters,,,
,３００平方公尺以上,660,-,11,25,,50,50,524,7.6,300 Square Meters and More,,,
