,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 花蓮縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 花蓮縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,花蓮縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Hualien County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Hualien County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,花蓮縣,125693,89374,33692,2627,,,
,Hualien County,,,,,,,
,花蓮市,39931,34860,4260,811,,,
,Hualien City,,,,,,,
,鳳林鎮,3254,2561,665,28,,,
,Fenglin Township,,,,,,,
,玉里鎮,8686,7856,684,146,,,
,Yuli Township,,,,,,,
,新城鄉,9380,4460,4861,59,,,
,Xincheng Township,,,,,,,
,吉安鄉,37127,20021,16343,763,,,
,Ji'an Township,,,,,,,
,壽豐鄉,8476,5510,2635,331,,,
,Shoufeng Township,,,,,,,
,光復鄉,4152,3580,497,75,,,
,Guangfu Township,,,,,,,
,豐濱鄉,619,535,67,17,,,
,Fengbin Township,,,,,,,
,瑞穗鄉,2929,2527,351,51,,,
,Ruisui Township,,,,,,,
,富里鄉,3697,3308,262,127,,,
,Fuli Township,,,,,,,
,秀林鄉,5294,3070,2059,165,,,
,Xiulin Township,,,,,,,
,萬榮鄉,1154,626,510,18,,,
,Wanrong Township,,,,,,,
,卓溪鄉,994,460,498,36,,,
,Zhuoxi Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 花蓮縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 花蓮縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,花蓮縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Hualien County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Hualien County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
