,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 花蓮縣普通住戶之家戶型態,,Table 33 Hualien County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 花蓮縣普通住戶之家戶型態,表３３,花蓮縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Hualien County Family Household Type of Ordinary Households,Table 33,Hualien County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,花蓮縣,108328,47145,16599,22343,8203,17211,,10058,4612,2541,35743,8229,6726,1503,Hualien County
,花蓮市,34814,14909,4699,7364,2846,4653,,2800,1109,744,12878,2374,1913,461,Hualien City
,鳳林鎮,3585,1349,688,455,206,588,,304,176,108,1326,322,250,72,Fenglin Township
,玉里鎮,7498,2932,1165,1266,501,1266,,628,335,303,2767,533,441,92,Yuli Township
,新城鄉,7062,3493,1040,1927,526,1278,,813,327,138,1718,573,481,92,Xincheng Township
,吉安鄉,28809,14755,4723,7592,2440,4952,,3165,1329,458,7319,1783,1568,215,Ji'an Township
,壽豐鄉,7509,2708,1149,1182,377,1178,,643,405,130,2828,795,501,294,Shoufeng Township
,光復鄉,4203,1542,843,507,192,613,,350,151,112,1654,394,309,85,Guangfu Township
,豐濱鄉,1026,261,136,71,54,147,,46,70,31,529,89,83,6,Fengbin Township
,瑞穗鄉,3849,1409,754,468,187,576,,250,188,138,1569,295,226,69,Ruisui Township
,富里鄉,3162,1199,655,376,168,642,,268,232,142,1025,296,237,59,Fuli Township
,秀林鄉,4482,1723,436,800,487,872,,546,187,139,1377,510,470,40,Xiulin Township
,萬榮鄉,1194,459,167,185,107,220,,112,53,55,371,144,133,11,Wanrong Township
,卓溪鄉,1135,406,144,150,112,226,,133,50,43,382,121,114,7,Zhuoxi Township
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 花蓮縣普通住戶之家戶型態（續）,,Table 33 Hualien County Family Household Type of Ordinary Households(Cont.),,表３３ 普通住戶之家戶型態（續）,表３３ 花蓮縣普通住戶之家戶型態（續）,表３３,花蓮縣,普通住戶之家戶型態（續）,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households(Cont.),Table 33 Hualien County Family Household Type of Ordinary Households(Cont.),Table 33,Hualien County,Family Household Type of Ordinary Households(Cont.),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,108328,47145,16599,22343,8203,17211,,10058,4612,2541,35743,8229,6726,1503,Grand Total
,未滿２５歲,1366,209,33,132,44,26,,4,2,20,803,328,171,157,Under 25 Years
,２５－３４歲,6222,2188,396,1332,460,468,,373,46,49,2859,707,542,165,25-34 Years
,３５－４４歲,14148,7937,974,5716,1247,1255,,994,246,15,4063,893,747,146,35-44 Years
,４５－５４歲,21581,11157,2652,6542,1963,2298,,1556,639,103,6928,1198,1085,113,45-54 Years
,５５－６４歲,27990,12365,5148,5099,2118,4582,,2695,1155,732,9068,1975,1663,312,55-64 Years
,６５歲以上,37021,13289,7396,3522,2371,8582,,4436,2524,1622,12022,3128,2518,610,65 Years and Over
,男,59809,29567,12148,14883,2536,9140,,5538,2472,1130,16799,4303,3679,624,Male
,未滿２５歲,666,116,27,78,11,24,,4,0,20,368,158,97,61,Under 25 Years
,２５－３４歲,3565,1245,227,823,195,270,,224,25,21,1595,455,371,84,25-34 Years
,３５－４４歲,8052,4435,666,3357,412,672,,527,141,4,2420,525,455,70,35-44 Years
,４５－５４歲,12193,6808,1816,4258,734,1455,,1010,401,44,3289,641,590,51,45-54 Years
,５５－６４歲,15625,7794,3571,3571,652,2423,,1440,686,297,4316,1092,936,156,55-64 Years
,６５歲以上,19708,9169,5841,2796,532,4296,,2333,1219,744,4811,1432,1230,202,65 Years and Over
,女,48519,17578,4451,7460,5667,8071,,4520,2140,1411,18944,3926,3047,879,Female
,未滿２５歲,700,93,6,54,33,2,,0,2,0,435,170,74,96,Under 25 Years
,２５－３４歲,2657,943,169,509,265,198,,149,21,28,1264,252,171,81,25-34 Years
,３５－４４歲,6096,3502,308,2359,835,583,,467,105,11,1643,368,292,76,35-44 Years
,４５－５４歲,9388,4349,836,2284,1229,843,,546,238,59,3639,557,495,62,45-54 Years
,５５－６４歲,12365,4571,1577,1528,1466,2159,,1255,469,435,4752,883,727,156,55-64 Years
,６５歲以上,17313,4120,1555,726,1839,4286,,2103,1305,878,7211,1696,1288,408,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
