,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 花蓮縣普通住戶之住宅所有權屬,,Table 34 Hualien County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 花蓮縣普通住戶之住宅所有權屬,表３４,花蓮縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Hualien County Home Ownership of Ordinary Households,Table 34,Hualien County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,花蓮縣,107728,84327,5398,,11449,6554,Hualien County,,,,,,,,
,花蓮市,34675,25648,1746,,5135,2146,Hualien City,,,,,,,,
,鳳林鎮,3566,2874,135,,323,234,Fenglin Township,,,,,,,,
,玉里鎮,7419,5842,424,,576,577,Yuli Township,,,,,,,,
,新城鄉,7041,5217,294,,1211,319,Xincheng Township,,,,,,,,
,吉安鄉,28646,24001,1494,,2180,971,Ji'an Township,,,,,,,,
,壽豐鄉,7452,5593,353,,972,534,Shoufeng Township,,,,,,,,
,光復鄉,4194,3339,235,,328,292,Guangfu Township,,,,,,,,
,豐濱鄉,1018,879,54,,6,79,Fengbin Township,,,,,,,,
,瑞穗鄉,3820,3078,147,,329,266,Ruisui Township,,,,,,,,
,富里鄉,3125,2487,219,,181,238,Fuli Township,,,,,,,,
,秀林鄉,4450,3364,184,,160,742,Xiulin Township,,,,,,,,
,萬榮鄉,1191,1037,48,,35,71,Wanrong Township,,,,,,,,
,卓溪鄉,1131,968,65,,13,85,Zhuoxi Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
