,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 花蓮縣住宅使用情形,,Table 37 Hualien County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 花蓮縣住宅使用情形,表３７,花蓮縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Hualien County Housing Usage Status,Table 37,Hualien County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,花蓮縣,127365,85131,42234,,12583,7419,22232,Hualien County,,,,,
,花蓮市,41037,24455,16582,,4569,2755,9258,Hualien City,,,,,
,鳳林鎮,4824,2764,2060,,580,500,980,Fenglin Township,,,,,
,玉里鎮,10279,6646,3633,,1137,679,1817,Yuli Township,,,,,
,新城鄉,7782,5772,2010,,546,494,970,Xincheng Township,,,,,
,吉安鄉,33514,25497,8017,,2252,1209,4556,Ji'an Township,,,,,
,壽豐鄉,7302,4991,2311,,749,880,682,Shoufeng Township,,,,,
,光復鄉,4998,3291,1707,,436,143,1128,Guangfu Township,,,,,
,豐濱鄉,1970,1013,957,,423,126,408,Fengbin Township,,,,,
,瑞穗鄉,4724,2946,1778,,683,361,734,Ruisui Township,,,,,
,富里鄉,3956,2463,1493,,530,157,806,Fuli Township,,,,,
,秀林鄉,3811,3159,652,,298,52,302,Xiulin Township,,,,,
,萬榮鄉,1518,1108,410,,137,35,238,Wanrong Township,,,,,
,卓溪鄉,1650,1026,624,,243,28,353,Zhuoxi Township,,,,,
