,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 花蓮縣住宅之竣工年份,,Table 38 Hualien County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 花蓮縣住宅之竣工年份,表３８,花蓮縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Hualien County Completion Year of Construction of Housing Units,Table 38,Hualien County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,花蓮縣,127365,49515,24733,29340,,14853,8924,4229,4695,Hualien County,,
,花蓮市,41037,12924,8728,12712,,4340,2333,1047,1286,Hualien City,,
,鳳林鎮,4824,3008,742,547,,323,204,124,80,Fenglin Township,,
,玉里鎮,10279,5014,2014,1615,,1029,607,393,214,Yuli Township,,
,新城鄉,7782,3833,1554,1498,,325,572,246,326,Xincheng Township,,
,吉安鄉,33514,10067,6017,8540,,6039,2851,1457,1394,Ji'an Township,,
,壽豐鄉,7302,3051,1084,1798,,582,787,214,573,Shoufeng Township,,
,光復鄉,4998,2768,925,661,,468,176,108,68,Guangfu Township,,
,豐濱鄉,1970,743,474,189,,460,104,63,41,Fengbin Township,,
,瑞穗鄉,4724,2446,1203,375,,354,346,142,204,Ruisui Township,,
,富里鄉,3956,2574,544,344,,248,246,107,139,Fuli Township,,
,秀林鄉,3811,1635,707,561,,452,456,241,215,Xiulin Township,,
,萬榮鄉,1518,701,284,287,,124,122,37,85,Wanrong Township,,
,卓溪鄉,1650,751,457,213,,109,120,50,70,Zhuoxi Township,,
