,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 花蓮縣空閒住宅之樓地板面積,,Table 42 Hualien County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 花蓮縣空閒住宅之樓地板面積,表４２,花蓮縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Hualien County Total Floor Area of Vacant Housing Units,Table 42,Hualien County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,花蓮縣,34815,12148,13711,,5143,3496,317,95.4,Hualien County,,
,花蓮市,13827,6295,5016,,1423,1000,93,82.3,Hualien City,,
,鳳林鎮,1560,575,577,,233,174,1,94.1,Fenglin Township,,
,玉里鎮,2954,789,1197,,577,346,45,107.8,Yuli Township,,
,新城鄉,1516,409,680,,263,145,19,99.8,Xincheng Township,,
,吉安鄉,6808,1383,2858,,1327,1158,82,115.9,Ji'an Township,,
,壽豐鄉,1431,396,660,,177,162,36,109.3,Shoufeng Township,,
,光復鄉,1564,521,600,,313,125,5,93.6,Guangfu Township,,
,豐濱鄉,831,348,334,,108,40,1,82.3,Fengbin Township,,
,瑞穗鄉,1417,366,621,,257,160,13,103,Ruisui Township,,
,富里鄉,1336,434,533,,253,98,18,96.7,Fuli Township,,
,秀林鄉,600,242,216,,90,52,0,86.5,Xiulin Township,,
,萬榮鄉,375,122,193,,42,14,4,85.5,Wanrong Township,,
,卓溪鄉,596,268,226,,80,22,0,77.400000000000006,Zhuoxi Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
