,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 花蓮縣有人經常居住住宅之使用情形,,Table 43 Hualien County Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 花蓮縣有人經常居住住宅之使用情形,表４３,花蓮縣,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Hualien County Housing Usage of Occupied Housing Units,Table 43,Hualien County,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,花蓮縣,85131,78555,6576,,210,6242,124,Hualien County,,,,,,,
,花蓮市,24455,21974,2481,,31,2450,0,Hualien City,,,,,,,
,鳳林鎮,2764,2547,217,,4,200,13,Fenglin Township,,,,,,,
,玉里鎮,6646,5828,818,,9,789,20,Yuli Township,,,,,,,
,新城鄉,5772,5198,574,,34,533,7,Xincheng Township,,,,,,,
,吉安鄉,25497,24043,1454,,77,1365,12,Ji'an Township,,,,,,,
,壽豐鄉,4991,4723,268,,24,214,30,Shoufeng Township,,,,,,,
,光復鄉,3291,3013,278,,9,262,7,Guangfu Township,,,,,,,
,豐濱鄉,1013,991,22,,0,22,0,Fengbin Township,,,,,,,
,瑞穗鄉,2946,2810,136,,9,117,10,Ruisui Township,,,,,,,
,富里鄉,2463,2278,185,,0,163,22,Fuli Township,,,,,,,
,秀林鄉,3159,3050,109,,12,95,2,Xiulin Township,,,,,,,
,萬榮鄉,1108,1088,20,,0,19,1,Wanrong Township,,,,,,,
,卓溪鄉,1026,1012,14,,1,13,0,Zhuoxi Township,,,,,,,
