,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 花蓮縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Hualien County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 花蓮縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,花蓮縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Hualien County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Hualien County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,花蓮縣,85131,8988,29811,21333,24999,1.4,,16827,26207,30253,11844,0.6,Hualien County
,花蓮市,24455,2665,8575,6297,6918,1.2,,4300,7218,8948,3989,0.5,Hualien City
,鳳林鎮,2764,216,795,748,1005,1.5,,521,856,1096,291,0.5,Fenglin Township
,玉里鎮,6646,625,2060,1751,2210,1.6,,1339,1846,2674,787,0.7,Yuli Township
,新城鄉,5772,665,2322,1428,1357,1.2,,1192,1992,1917,671,0.6,Xincheng Township
,吉安鄉,25497,2313,9764,6383,7037,1.6,,3994,8739,8471,4293,0.7,Ji'an Township
,壽豐鄉,4991,451,1559,1126,1855,1.3,,1100,1370,1752,769,0.5,Shoufeng Township
,光復鄉,3291,289,868,930,1204,1.5,,630,948,1430,283,0.5,Guangfu Township
,豐濱鄉,1013,77,242,245,449,2.2000000000000002,,202,278,477,56,0.7,Fengbin Township
,瑞穗鄉,2946,233,888,796,1029,1.5,,635,833,1187,291,0.5,Ruisui Township
,富里鄉,2463,190,784,651,838,1.5,,536,814,893,220,0.5,Fuli Township
,秀林鄉,3159,871,1204,554,530,1,,1523,742,767,127,0.3,Xiulin Township
,萬榮鄉,1108,211,393,215,289,1.3,,445,297,323,43,0.4,Wanrong Township
,卓溪鄉,1026,182,357,209,278,1.4,,410,274,318,24,0.4,Zhuoxi Township
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 花蓮縣有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,,"Table 46 Hualien County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６ 花蓮縣有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６,花蓮縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）
,,,Occupied Housing Units(Cont.),,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Hualien County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Hualien County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,85131,8988,29811,21333,24999,1.4,,16827,26207,30253,11844,0.6,Grand Total
,未滿６０平方公尺,14936,2308,4842,4507,3279,1.2,,3475,3933,7028,500,0.5,Under 60 Square Meters
,６０－未滿１２０平方公尺,35869,3871,12910,8519,10569,1.3,,8166,12051,11189,4463,0.5,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,20840,1607,7717,5216,6300,1.5,,3263,6906,7352,3319,0.6,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,12305,973,3955,2849,4528,1.6,,1580,3082,4304,3339,0.8,180-Under 300 Square Meters
,３００平方公尺以上,1181,229,387,242,323,1,,343,235,380,223,0.6,300 Square Meters and More
