,,民國109年,,,,,2020,,,,,,
,表３１ 苗栗縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Miaoli County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 苗栗縣住戶數、常住人口數及平均每戶人口數,表３１,苗栗縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Miaoli County Number of Households, Resident Population and Average",Table 31,Miaoli County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,苗栗縣,167866,521962,3.1,166735,,490634,2.9,1131,31328,27.7,Miaoli County,
,苗栗市,30434,89446,2.9,30270,,84439,2.8,164,5007,30.5,Miaoli City,
,苑裡鎮,12256,41302,3.4,12141,,38570,3.2,115,2732,23.8,Yuanli Township,
,通霄鎮,8845,25915,2.9,8784,,24266,2.8,61,1649,27,Tongxiao Township,
,竹南鎮,31076,98406,3.2,30853,,89403,2.9,223,9003,40.4,Zhunan Township,
,頭份市,32829,106523,3.2,32663,,102086,3.1,166,4437,26.7,Toufen City,
,後龍鎮,9988,33874,3.4,9888,,29283,3,100,4591,45.9,Houlong Township,
,卓蘭鎮,4703,13120,2.8,4700,,13107,2.8,3,13,4.3,Zhuolan Township,
,大湖鄉,4106,11053,2.7,4089,,10961,2.7,17,92,5.4,Dahu Township,
,公館鄉,9497,27644,2.9,9460,,27414,2.9,37,230,6.2,Gongguan Township,
,銅鑼鄉,5200,16993,3.3,5125,,15831,3.1,75,1162,15.5,Tongluo Township,
,南庄鄉,2600,7102,2.7,2589,,7032,2.7,11,70,6.4,Nanzhuang Township,
,頭屋鄉,2870,8974,3.1,2835,,8765,3.1,35,209,6,Touwu Township,
,三義鄉,4632,14314,3.1,4597,,13795,3,35,519,14.8,Sanyi Township,
,西湖鄉,1556,4608,3,1546,,4429,2.9,10,179,17.899999999999999,Xihu Township,
,造橋鄉,3545,12387,3.5,3485,,11141,3.2,60,1246,20.8,Zaoqiao Township,
,三灣鄉,1562,4836,3.1,1555,,4808,3.1,7,28,4,Sanwan Township,
,獅潭鄉,1018,2657,2.6,1013,,2628,2.6,5,29,5.8,Shitan Township,
,泰安鄉,1149,2808,2.4,1142,,2676,2.2999999999999998,7,132,18.899999999999999,Tai'an Township,
