,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 苗栗縣普通住戶之戶內人口數,,Table 32 Miaoli County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 苗栗縣普通住戶之戶內人口數,表３２,苗栗縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Miaoli County Number of Persons of Ordinary Households,Table 32,Miaoli County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,苗栗縣,166735,41133,41492,32516,,26162,12710,12722,2.9,Miaoli County
,苗栗市,30270,8268,7955,5319,,4989,2068,1671,2.8,Miaoli City
,苑裡鎮,12141,2561,3061,2255,,1818,1040,1406,3.2,Yuanli Township
,通霄鎮,8784,2474,2559,1477,,1005,562,707,2.8,Tongxiao Township
,竹南鎮,30853,7993,6500,6941,,5482,2307,1630,2.9,Zhunan Township
,頭份市,32663,6589,7435,6912,,6140,2696,2891,3.1,Toufen City
,後龍鎮,9888,2571,2447,1759,,1297,858,956,3,Houlong Township
,卓蘭鎮,4700,1221,1387,965,,497,249,381,2.8,Zhuolan Township
,大湖鄉,4089,1232,1169,683,,458,278,269,2.7,Dahu Township
,公館鄉,9460,2282,2567,1886,,1332,700,693,2.9,Gongguan Township
,銅鑼鄉,5125,1109,1403,866,,759,484,504,3.1,Tongluo Township
,南庄鄉,2589,814,741,385,,261,160,228,2.7,Nanzhuang Township
,頭屋鄉,2835,639,704,567,,410,244,271,3.1,Touwu Township
,三義鄉,4597,1048,1223,923,,650,396,357,3,Sanyi Township
,西湖鄉,1546,459,458,270,,143,94,122,2.9,Xihu Township
,造橋鄉,3485,679,844,696,,529,358,379,3.2,Zaoqiao Township
,三灣鄉,1555,417,399,251,,213,121,154,3.1,Sanwan Township
,獅潭鄉,1013,334,323,179,,88,38,51,2.6,Shitan Township
,泰安鄉,1142,443,317,182,,91,57,52,2.2999999999999998,Tai'an Township
