,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 苗栗縣普通住戶之家戶型態,,Table 33 Miaoli County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 苗栗縣普通住戶之家戶型態,表３３,苗栗縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Miaoli County Family Household Type of Ordinary Households,Table 33,Miaoli County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,苗栗縣,166735,78184,24198,43511,10475,34851,,22789,8868,3194,41133,12567,10338,2229,Miaoli County
,苗栗市,30270,14471,4608,7617,2246,5421,,3416,1552,453,8268,2110,1709,401,Miaoli City
,苑裡鎮,12141,5446,1777,2982,687,3026,,2082,674,270,2561,1108,863,245,Yuanli Township
,通霄鎮,8784,3828,1619,1733,476,1756,,1134,444,178,2474,726,616,110,Tongxiao Township
,竹南鎮,30853,16281,3523,10856,1902,4660,,2913,1227,520,7993,1919,1570,349,Zhunan Township
,頭份市,32663,16337,4200,10057,2080,7551,,5346,1617,588,6589,2186,1869,317,Toufen City
,後龍鎮,9888,4045,1253,2100,692,2438,,1548,573,317,2571,834,671,163,Houlong Township
,卓蘭鎮,4700,1961,957,767,237,1104,,650,366,88,1221,414,359,55,Zhuolan Township
,大湖鄉,4089,1606,850,621,135,894,,531,290,73,1232,357,283,74,Dahu Township
,公館鄉,9460,4336,1540,2143,653,2147,,1355,594,198,2282,695,584,111,Gongguan Township
,銅鑼鄉,5125,2177,837,1000,340,1432,,961,317,154,1109,407,348,59,Tongluo Township
,南庄鄉,2589,982,425,400,157,555,,360,147,48,814,238,196,42,Nanzhuang Township
,頭屋鄉,2835,1138,412,563,163,765,,496,196,73,639,293,237,56,Touwu Township
,三義鄉,4597,2043,772,1070,201,1064,,720,261,83,1048,442,358,84,Sanyi Township
,西湖鄉,1546,569,279,218,72,349,,189,130,30,459,169,119,50,Xihu Township
,造橋鄉,3485,1538,519,800,219,945,,677,219,49,679,323,275,48,Zaoqiao Township
,三灣鄉,1555,629,242,302,85,375,,243,113,19,417,134,119,15,Sanwan Township
,獅潭鄉,1013,382,209,116,57,186,,87,80,19,334,111,70,41,Shitan Township
,泰安鄉,1142,415,176,166,73,183,,81,68,34,443,101,92,9,Tai'an Township
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 苗栗縣普通住戶之家戶型態（續）,,Table 33 Miaoli County Family Household Type of Ordinary Households(Cont.),,表３３ 普通住戶之家戶型態（續）,表３３ 苗栗縣普通住戶之家戶型態（續）,表３３,苗栗縣,普通住戶之家戶型態（續）,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households(Cont.),Table 33 Miaoli County Family Household Type of Ordinary Households(Cont.),Table 33,Miaoli County,Family Household Type of Ordinary Households(Cont.),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,166735,78184,24198,43511,10475,34851,,22789,8868,3194,41133,12567,10338,2229,Grand Total
,未滿２５歲,2072,246,30,120,96,74,,48,9,17,1553,199,165,34,Under 25 Years
,２５－３４歲,7925,3553,599,2431,523,594,,383,181,30,3041,737,601,136,25-34 Years
,３５－４４歲,24856,15747,1735,12078,1934,2272,,1817,434,21,5573,1264,1102,162,35-44 Years
,４５－５４歲,33146,19630,3945,12972,2713,4211,,2925,1184,102,7775,1530,1377,153,45-54 Years
,５５－６４歲,40887,19791,6654,10580,2557,8851,,5684,2362,805,9576,2669,2510,159,55-64 Years
,６５歲以上,57849,19217,11235,5330,2652,18849,,11932,4698,2219,13615,6168,4583,1585,65 Years and Over
,男,105986,54479,19311,31806,3362,22925,,15355,5753,1817,21004,7578,6581,997,Male
,未滿２５歲,1243,136,13,92,31,36,,21,9,6,966,105,85,20,Under 25 Years
,２５－３４歲,5234,2213,400,1528,285,475,,324,134,17,2059,487,410,77,25-34 Years
,３５－４４歲,15404,9738,1268,7832,638,1701,,1392,300,9,3125,840,757,83,35-44 Years
,４５－５４歲,21252,12982,2709,9307,966,3114,,2216,858,40,4022,1134,1039,95,45-54 Years
,５５－６４歲,27091,14311,5127,8375,809,5887,,3811,1610,466,5085,1808,1722,86,55-64 Years
,６５歲以上,35762,15099,9794,4672,633,11712,,7591,2842,1279,5747,3204,2568,636,65 Years and Over
,女,60749,23705,4887,11705,7113,11926,,7434,3115,1377,20129,4989,3757,1232,Female
,未滿２５歲,829,110,17,28,65,38,,27,0,11,587,94,80,14,Under 25 Years
,２５－３４歲,2691,1340,199,903,238,119,,59,47,13,982,250,191,59,25-34 Years
,３５－４４歲,9452,6009,467,4246,1296,571,,425,134,12,2448,424,345,79,35-44 Years
,４５－５４歲,11894,6648,1236,3665,1747,1097,,709,326,62,3753,396,338,58,45-54 Years
,５５－６４歲,13796,5480,1527,2205,1748,2964,,1873,752,339,4491,861,788,73,55-64 Years
,６５歲以上,22087,4118,1441,658,2019,7137,,4341,1856,940,7868,2964,2015,949,65 Years and Over
