,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 苗栗縣住宅之竣工年份,,Table 38 Miaoli County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 苗栗縣住宅之竣工年份,表３８,苗栗縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Miaoli County Completion Year of Construction of Housing Units,Table 38,Miaoli County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,苗栗縣,190106,61624,37543,41263,,21997,27679,13904,13775,Miaoli County,,
,苗栗市,33611,11321,7192,8416,,2793,3889,2055,1834,Miaoli City,,
,苑裡鎮,15154,5968,2757,3955,,555,1919,534,1385,Yuanli Township,,
,通霄鎮,9758,4057,2327,1567,,1462,345,162,183,Tongxiao Township,,
,竹南鎮,32188,7278,4508,6830,,4935,8637,3916,4721,Zhunan Township,,
,頭份市,38304,8147,6593,9354,,5453,8757,4748,4009,Toufen City,,
,後龍鎮,11966,4668,3178,1918,,1305,897,436,461,Houlong Township,,
,卓蘭鎮,5151,2209,1211,1004,,415,312,213,99,Zhuolan Township,,
,大湖鄉,4371,2020,843,807,,499,202,123,79,Dahu Township,,
,公館鄉,10668,3727,2282,2429,,1097,1133,821,312,Gongguan Township,,
,銅鑼鄉,5636,2015,1283,1294,,633,411,242,169,Tongluo Township,,
,南庄鄉,3282,1937,504,242,,395,204,122,82,Nanzhuang Township,,
,頭屋鄉,3294,1566,828,524,,190,186,143,43,Touwu Township,,
,三義鄉,5648,2093,1599,1390,,339,227,93,134,Sanyi Township,,
,西湖鄉,1947,874,503,153,,338,79,40,39,Xihu Township,,
,造橋鄉,4250,1626,1024,801,,652,147,98,49,Zaoqiao Township,,
,三灣鄉,1960,852,465,267,,226,150,64,86,Sanwan Township,,
,獅潭鄉,1556,758,288,214,,207,89,59,30,Shitan Township,,
,泰安鄉,1362,508,158,98,,503,95,35,60,Tai'an Township,,
