,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 苗栗縣住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 苗栗縣住宅之建築類型,表４０,苗栗縣,住宅之建築類型
,Table 40 Miaoli County Type of Building,,,,,Table 40 Type of Building,Table 40 Miaoli County Type of Building,Table 40,Miaoli County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,苗栗縣,190106,35195,134741,16594,3576,,,,
,Miaoli County,,,,,,,,,
,苗栗市,33611,4309,24576,4247,479,,,,
,Miaoli City,,,,,,,,,
,苑裡鎮,15154,4226,10413,515,0,,,,
,Yuanli Township,,,,,,,,,
,通霄鎮,9758,2385,7166,129,78,,,,
,Tongxiao Township,,,,,,,,,
,竹南鎮,32188,4542,22013,4266,1367,,,,
,Zhunan Township,,,,,,,,,
,頭份市,38304,5614,24601,6445,1644,,,,
,Toufen City,,,,,,,,,
,後龍鎮,11966,3365,8437,156,8,,,,
,Houlong Township,,,,,,,,,
,卓蘭鎮,5151,1489,3579,83,0,,,,
,Zhuolan Township,,,,,,,,,
,大湖鄉,4371,871,3488,12,0,,,,
,Dahu Township,,,,,,,,,
,公館鄉,10668,2057,8302,309,0,,,,
,Gongguan Township,,,,,,,,,
,銅鑼鄉,5636,1228,4408,0,0,,,,
,Tongluo Township,,,,,,,,,
,南庄鄉,3282,662,2620,0,0,,,,
,Nanzhuang Township,,,,,,,,,
,頭屋鄉,3294,578,2716,0,0,,,,
,Touwu Township,,,,,,,,,
,三義鄉,5648,993,4491,164,0,,,,
,Sanyi Township,,,,,,,,,
,西湖鄉,1947,626,1321,0,0,,,,
,Xihu Township,,,,,,,,,
,造橋鄉,4250,980,3002,268,0,,,,
,Zaoqiao Township,,,,,,,,,
,三灣鄉,1960,516,1444,0,0,,,,
,Sanwan Township,,,,,,,,,
,獅潭鄉,1556,342,1214,0,0,,,,
,Shitan Township,,,,,,,,,
,泰安鄉,1362,412,950,0,0,,,,
,Tai'an Township,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 苗栗縣住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 苗栗縣住宅之建築類型,表４０,苗栗縣,住宅之建築類型
,Table 40 Miaoli County Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Miaoli County Type of Building,Table 40,Miaoli County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,190106,35195,134741,16594,3576,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,16616,5904,8473,1660,579,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,53226,11536,30659,8841,2190,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,59561,9463,46392,3443,263,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,54563,7462,44133,2446,522,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,6140,830,5084,204,22,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,190106,35195,134741,16594,3576,,,,
,Grand Total,,,,,,,,,
,６９年以前,61624,14798,46773,53,0,,,,
,Before 1980,,,,,,,,,
,７０－７９年,37543,9402,27333,808,0,,,,
,1981-1990,,,,,,,,,
,８０－８９年,41263,7090,23734,9054,1385,,,,
,1991-2000,,,,,,,,,
,９０－９９年,21997,2299,18487,926,285,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,27679,1606,18414,5753,1906,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,13904,1000,10128,2621,155,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,13775,606,8286,3132,1751,,,,
,2016-2020,,,,,,,,,
