,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 苗栗縣空閒住宅之竣工年份,,Table 41 Miaoli County Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 苗栗縣空閒住宅之竣工年份,表４１,苗栗縣,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Miaoli County Completion Year of Vacant Housing Units,Table 41,Miaoli County,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,苗栗縣,37094,11309,6050,7818,,4131,7786,3107,4679,Miaoli County,,
,苗栗市,6087,1618,1190,2041,,571,667,328,339,Miaoli City,,
,苑裡鎮,3470,1506,424,652,,73,815,143,672,Yuanli Township,,
,通霄鎮,2287,854,539,352,,381,161,69,92,Tongxiao Township,,
,竹南鎮,6570,1103,602,1136,,804,2925,1005,1920,Zhunan Township,,
,頭份市,5835,1004,750,1639,,590,1852,793,1059,Toufen City,,
,後龍鎮,3064,1149,760,387,,363,405,211,194,Houlong Township,,
,卓蘭鎮,840,362,145,148,,111,74,64,10,Zhuolan Township,,
,大湖鄉,1096,448,198,239,,133,78,45,33,Dahu Township,,
,公館鄉,1855,636,271,428,,250,270,161,109,Gongguan Township,,
,銅鑼鄉,948,357,170,191,,95,135,70,65,Tongluo Township,,
,南庄鄉,902,476,147,73,,128,78,46,32,Nanzhuang Township,,
,頭屋鄉,652,290,139,81,,63,79,59,20,Touwu Township,,
,三義鄉,879,387,239,156,,60,37,12,25,Sanyi Township,,
,西湖鄉,504,215,108,36,,113,32,13,19,Xihu Township,,
,造橋鄉,726,294,138,116,,125,53,31,22,Zaoqiao Township,,
,三灣鄉,557,251,98,57,,86,65,24,41,Sanwan Township,,
,獅潭鄉,571,270,100,68,,94,39,26,13,Shitan Township,,
,泰安鄉,251,89,32,18,,91,21,7,14,Tai'an Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
