,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 苗栗縣有人經常居住住宅之房廳數,,Table 45 Miaoli County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 苗栗縣有人經常居住住宅之房廳數,表４５,苗栗縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Miaoli County Number of Rooms of Occupied Housing Units,Table 45,Miaoli County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,苗栗縣,145723,1180,6972,11146,,37496,39061,49868,5,Miaoli County,,,
,苗栗市,25612,500,1246,2030,,7334,6194,8308,4.9000000000000004,Miaoli City,,,
,苑裡鎮,11289,28,428,842,,2635,2756,4600,5.2,Yuanli Township,,,
,通霄鎮,7288,23,352,485,,1653,1832,2943,5.3,Tongxiao Township,,,
,竹南鎮,24728,285,856,1916,,6947,7894,6830,4.9000000000000004,Zhunan Township,,,
,頭份市,31549,107,910,2187,,7851,10154,10340,5.0999999999999996,Toufen City,,,
,後龍鎮,8331,46,499,684,,2037,2022,3043,5.0999999999999996,Houlong Township,,,
,卓蘭鎮,4045,29,482,308,,792,813,1621,5.0999999999999996,Zhuolan Township,,,
,大湖鄉,3139,17,291,264,,802,548,1217,5.2,Dahu Township,,,
,公館鄉,8374,44,286,367,,2319,2166,3192,5.2,Gongguan Township,,,
,銅鑼鄉,4589,26,271,404,,911,937,2040,5.4,Tongluo Township,,,
,南庄鄉,2140,24,330,241,,490,362,693,4.8,Nanzhuang Township,,,
,頭屋鄉,2516,9,143,200,,619,700,845,5.0999999999999996,Touwu Township,,,
,三義鄉,3949,16,227,377,,960,915,1454,5,Sanyi Township,,,
,西湖鄉,1389,6,119,108,,289,235,632,5.4,Xihu Township,,,
,造橋鄉,3380,2,152,319,,928,955,1024,4.9000000000000004,Zaoqiao Township,,,
,三灣鄉,1359,3,126,131,,259,291,549,5.2,Sanwan Township,,,
,獅潭鄉,944,3,122,92,,232,133,362,5.0999999999999996,Shitan Township,,,
,泰安鄉,1102,12,132,191,,438,154,175,4.0999999999999996,Tai'an Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 苗栗縣有人經常居住住宅之房廳數（續）,,Table 45 Miaoli County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 苗栗縣有人經常居住住宅之房廳數（續）,表４５,苗栗縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Miaoli County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Miaoli County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,145723,1180,6972,11146,,37496,39061,49868,5,Grand Total,,,
,未滿６０平方公尺,9011,1036,3465,1651,,2479,331,49,2.8,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,38259,114,2259,4283,,14075,10615,6913,4.5,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,48442,30,795,2684,,11093,16165,17675,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,44635,-,448,2490,,9584,11247,20866,5.5,180-Under 300 Square Meters,,,
,３００平方公尺以上,5376,-,5,38,,265,703,4365,7.3,300 Square Meters and More,,,
