,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 連江縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 連江縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,連江縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Lienchiang County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Lienchiang County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,連江縣,4425,4371,51,3,,,
,Lienchiang County,,,,,,,
,南竿鄉,2967,2948,17,2,,,
,Nangan Township,,,,,,,
,北竿鄉,700,669,31,0,,,
,BeiganTownship,,,,,,,
,莒光鄉,307,307,0,0,,,
,Juguang Township,,,,,,,
,東引鄉,451,447,3,1,,,
,Dongyin Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 連江縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 連江縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,連江縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Lienchiang County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Lienchiang County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,連江縣,2507,2469,37,1,,,
,Lienchiang County,,,,,,,
,南竿鄉,1653,1640,13,0,,,
,Nangan Township,,,,,,,
,北竿鄉,416,395,21,0,,,
,BeiganTownship,,,,,,,
,莒光鄉,178,178,0,0,,,
,Juguang Township,,,,,,,
,東引鄉,260,256,3,1,,,
,Dongyin Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 連江縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４ 連江縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４,連江縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）
,Table 14 Lienchiang County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Lienchiang County,0
,Civilian Resident Population Aged 15 Years and Over(End),,,(3)女性,,,,
,(3)女性 (3)Female,,,(3)Female,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,連江縣,1918,1902,14,2,,,
,Lienchiang County,,,,,,,
,南竿鄉,1314,1308,4,2,,,
,Nangan Township,,,,,,,
,北竿鄉,284,274,10,0,,,
,BeiganTownship,,,,,,,
,莒光鄉,129,129,0,0,,,
,Juguang Township,,,,,,,
,東引鄉,191,191,0,0,,,
,Dongyin Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
