,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 連江縣５歲以上常住人口遷徙情形,,Table 20 Lienchiang County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 連江縣５歲以上常住人口遷徙情形,表２０,連江縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Lienchiang County Migration Status of the Resident Population,Table 20,Lienchiang County,Migration Status of the Resident Population
,,,,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,連江縣,11341,5984,966,,351,3984,56,Lienchiang County
,南竿鄉,6527,3747,686,,223,1834,37,Nangan Township
,北竿鄉,1760,933,135,,56,629,7,BeiganTownship
,莒光鄉,960,509,85,,43,319,4,Juguang Township
,東引鄉,2094,795,60,,29,1202,8,Dongyin Township
,男,7621,3563,585,,231,3228,14,Male
,南竿鄉,4095,2148,393,,136,1409,9,Nangan Township
,北竿鄉,1182,537,86,,39,519,1,BeiganTownship
,莒光鄉,718,342,66,,29,279,2,Juguang Township
,東引鄉,1626,536,40,,27,1021,2,Dongyin Township
,女,3720,2421,381,,120,756,42,Female
,南竿鄉,2432,1599,293,,87,425,28,Nangan Township
,北竿鄉,578,396,49,,17,110,6,BeiganTownship
,莒光鄉,242,167,19,,14,40,2,Juguang Township
,東引鄉,468,259,20,,2,181,6,Dongyin Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
