,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 連江縣普通住戶之住宅所有權屬,,Table 34 Lienchiang County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 連江縣普通住戶之住宅所有權屬,表３４,連江縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Lienchiang County Home Ownership of Ordinary Households,Table 34,Lienchiang County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,連江縣,2269,1583,153,,438,95,Lienchiang County,,,,,,,,
,南竿鄉,1476,1063,76,,302,35,Nangan Township,,,,,,,,
,北竿鄉,370,259,45,,49,17,BeiganTownship,,,,,,,,
,莒光鄉,162,127,4,,23,8,Juguang Township,,,,,,,,
,東引鄉,261,134,28,,64,35,Dongyin Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
