,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 連江縣住宅使用情形,,Table 37 Lienchiang County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 連江縣住宅使用情形,表３７,連江縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Lienchiang County Housing Usage Status,Table 37,Lienchiang County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,連江縣,3040,2196,844,,308,159,377,Lienchiang County,,,,,
,南竿鄉,1867,1483,384,,169,82,133,Nangan Township,,,,,
,北竿鄉,537,328,209,,59,47,103,BeiganTownship,,,,,
,莒光鄉,316,161,155,,56,23,76,Juguang Township,,,,,
,東引鄉,320,224,96,,24,7,65,Dongyin Township,,,,,
