,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 連江縣住宅之竣工年份,,Table 38 Lienchiang County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 連江縣住宅之竣工年份,表３８,連江縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Lienchiang County Completion Year of Construction of Housing Units,Table 38,Lienchiang County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,連江縣,3040,1323,265,290,,460,702,350,352,Lienchiang County,,
,南竿鄉,1867,726,109,59,,394,579,277,302,Nangan Township,,
,北竿鄉,537,172,57,212,,29,67,42,25,BeiganTownship,,
,莒光鄉,316,188,56,12,,22,38,24,14,Juguang Township,,
,東引鄉,320,237,43,7,,15,18,7,11,Dongyin Township,,
