,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 連江縣住宅之樓地板面積,,Table 39 Lienchiang County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 連江縣住宅之樓地板面積,表３９,連江縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Lienchiang County Total Floor Area of Housing Units,Table 39,Lienchiang County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,連江縣,3040,658,1371,,742,237,32,104.9,Lienchiang County,,
,南竿鄉,1867,367,812,,550,121,17,106.3,Nangan Township,,
,北竿鄉,537,105,243,,113,67,9,112.1,BeiganTownship,,
,莒光鄉,316,109,152,,30,22,3,88.6,Juguang Township,,
,東引鄉,320,77,164,,49,27,3,100.6,Dongyin Township,,
