,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,,
,表４０ 連江縣住宅之建築類型,,Table 40 Lienchiang County Type of Building,,,,表４０ 住宅之建築類型,表４０ 連江縣住宅之建築類型,表４０,連江縣,住宅之建築類型
,,,,,,,Table 40 Type of Building,Table 40 Lienchiang County Type of Building,Table 40,Lienchiang County,Type of Building
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                     民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總 計,平房,２－５樓,,６－１２樓,１３樓以上,,,,
,,,,,,,,,,,
,,Grand total,Flat,2-5 floors,,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,
,連江縣,3040,704,1978,,358,0,Lienchiang County,,,
,南竿鄉,1867,234,1282,,351,0,Nangan Township,,,
,北竿鄉,537,377,153,,7,0,BeiganTownship,,,
,莒光鄉,316,35,281,,0,0,Juguang Township,,,
,東引鄉,320,58,262,,0,0,Dongyin Township,,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,,
,表４０ 連江縣住宅之建築類型（續）,,Table 40 Lienchiang County Type of Building(Cont.),,,,表４０ 住宅之建築類型,表４０ 連江縣住宅之建築類型,表４０,連江縣,住宅之建築類型
,,,,,,,Table 40 Type of Building,Table 40 Lienchiang County Type of Building,Table 40,Lienchiang County,Type of Building
,,,,,,,,,,,
,,,,,,,,,,,
,單位：宅                     民國109年11月,,November 2020                 Unit:Housing unit,,,,,,,,
,,總 計,平房,２－５樓,,６－１２樓,１３樓以上,,,,
,,,,,,,,,,,
,,Grand total,Flat,2-5 floors,,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按樓地板面積分,,,,,,,By Total Floor Area,,,
,總計,3040,704,1978,,358,-,Grand Total,,,
,未滿６０平方公尺,658,214,394,,50,-,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,1371,303,918,,150,-,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,742,128,466,,148,-,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,237,53,178,,6,-,180-Under 300 Square Meters,,,
,３００平方公尺以上,32,6,22,,4,-,300 Square Meters and More,,,
,按竣工年份分,,,,,,,By Completion Year of Construction,,,
,總計,3040,704,1978,,358,0,Grand Total,,,
,６９年以前,1323,312,1011,,0,0,Before 1980,,,
,７０－７９年,265,110,155,,0,0,1981-1990,,,
,８０－８９年,290,219,69,,2,0,1991-2000,,,
,９０－９９年,460,21,421,,18,0,2001-2010,,,
,１００－１０９年,702,42,322,,338,0,2011-2020,,,
,１００－１０４年,350,29,192,,129,0,2011-2015,,,
,１０５－１０９年,352,13,130,,209,0,2016-2020,,,
