,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 連江縣有人經常居住住宅之房廳數,,Table 45 Lienchiang County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 連江縣有人經常居住住宅之房廳數,表４５,連江縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Lienchiang County Number of Rooms of Occupied Housing Units,Table 45,Lienchiang County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,連江縣,2196,46,304,375,,606,432,433,4.3,Lienchiang County,,,
,南竿鄉,1483,30,186,202,,425,350,290,4.4000000000000004,Nangan Township,,,
,北竿鄉,328,5,30,62,,89,48,94,4.7,BeiganTownship,,,
,莒光鄉,161,3,40,49,,38,13,18,3.5,Juguang Township,,,
,東引鄉,224,8,48,62,,54,21,31,3.7,Dongyin Township,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,2196,46,304,375,,606,432,433,4.3,Grand Total,,,
,未滿６０平方公尺,391,29,145,107,,104,4,2,2.8,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,1002,14,110,216,,313,178,171,4.2,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,597,3,41,33,,147,216,157,4.9000000000000004,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,182,-,8,18,,38,31,87,5.7,180-Under 300 Square Meters,,,
,３００平方公尺以上,24,-,-,1,,4,3,16,8.1,300 Square Meters and More,,,
