,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 金門縣５歲以上常住人口遷徙情形,,Table 20 Kinmen County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 金門縣５歲以上常住人口遷徙情形,表２０,金門縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Kinmen County Migration Status of the Resident Population,Table 20,Kinmen County,Migration Status of the Resident Population
,,,,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,金門縣,62793,46935,6486,,3593,5057,722,Kinmen County
,金城鎮,18322,14866,1299,,680,1343,134,Jincheng Township
,金沙鎮,8325,6889,564,,264,497,111,Jinsha Township
,金湖鎮,16965,12234,2019,,807,1786,119,Jinhu Township
,金寧鄉,15355,9686,2384,,1800,1145,340,Jinning Township
,烈嶼鄉,3611,3150,217,,40,186,18,Lieyu Township
,烏坵鄉,215,110,3,,2,100,0,Wuqiu Township
,男,32505,24103,3361,,1727,3062,252,Male
,金城鎮,9078,7364,595,,296,776,47,Jincheng Township
,金沙鎮,4103,3421,274,,127,262,19,Jinsha Township
,金湖鎮,9358,6481,1168,,426,1210,73,Jinhu Township
,金寧鄉,7691,4951,1197,,849,586,108,Jinning Township
,烈嶼鄉,2068,1783,124,,27,129,5,Lieyu Township
,烏坵鄉,207,103,3,,2,99,0,Wuqiu Township
,女,30288,22832,3125,,1866,1995,470,Female
,金城鎮,9244,7502,704,,384,567,87,Jincheng Township
,金沙鎮,4222,3468,290,,137,235,92,Jinsha Township
,金湖鎮,7607,5753,851,,381,576,46,Jinhu Township
,金寧鄉,7664,4735,1187,,951,559,232,Jinning Township
,烈嶼鄉,1543,1367,93,,13,57,13,Lieyu Township
,烏坵鄉,8,7,0,,0,1,0,Wuqiu Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
