,,民國109年,,,,,2020,,,,,,
,表３１ 金門縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Kinmen County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 金門縣住戶數、常住人口數及平均每戶人口數,表３１,金門縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Kinmen County Number of Households, Resident Population and Average",Table 31,Kinmen County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,金門縣,20346,67173,3.3,20216,,61193,3,130,5980,46,Kinmen County,
,金城鎮,6116,19686,3.2,6093,,19036,3.1,23,650,28.3,Jincheng Township,
,金沙鎮,2678,8868,3.3,2664,,8534,3.2,14,334,23.9,Jinsha Township,
,金湖鎮,5168,18049,3.5,5123,,15398,3,45,2651,58.9,Jinhu Township,
,金寧鄉,5340,16485,3.1,5309,,15046,2.8,31,1439,46.4,Jinning Township,
,烈嶼鄉,1023,3868,3.8,1009,,3150,3.1,14,718,51.3,Lieyu Township,
,烏坵鄉,21,217,10.3,18,,29,1.6,3,188,62.7,Wuqiu Township,
