,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 金門縣普通住戶之家戶型態,,Table 33 Kinmen County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 金門縣普通住戶之家戶型態,表３３,金門縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Kinmen County Family Household Type of Ordinary Households,Table 33,Kinmen County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,金門縣,20216,10017,3122,5905,990,3796,,2648,857,291,4920,1483,1102,381,Kinmen County
,金城鎮,6093,3048,937,1780,331,1178,,860,250,68,1348,519,366,153,Jincheng Township
,金沙鎮,2664,1177,430,633,114,750,,511,198,41,514,223,178,45,Jinsha Township
,金湖鎮,5123,2644,838,1530,276,923,,645,191,87,1213,343,274,69,Jinhu Township
,金寧鄉,5309,2736,733,1778,225,721,,496,156,69,1558,294,203,91,Jinning Township
,烈嶼鄉,1009,407,180,184,43,223,,135,62,26,276,103,80,23,Lieyu Township
,烏坵鄉,18,5,4,0,1,1,,1,0,0,11,1,1,0,Wuqiu Township
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,20216,10017,3122,5905,990,3796,,2648,857,291,4920,1483,1102,381,Grand Total
,未滿２５歲,292,44,4,35,5,8,,5,0,3,202,38,25,13,Under 25 Years
,２５－３４歲,1254,612,93,473,46,93,,73,13,7,435,114,86,28,25-34 Years
,３５－４４歲,3146,1930,142,1623,165,348,,314,31,3,665,203,162,41,35-44 Years
,４５－５４歲,4094,2415,442,1729,244,482,,368,100,14,961,236,193,43,45-54 Years
,５５－６４歲,4899,2545,839,1430,276,1012,,678,287,47,1046,296,243,53,55-64 Years
,６５歲以上,6531,2471,1602,615,254,1853,,1210,426,217,1611,596,393,203,65 Years and Over
,男,12695,6841,2380,4143,318,2515,,1804,549,162,2473,866,704,162,Male
,未滿２５歲,138,17,0,17,0,3,,0,0,3,104,14,8,6,Under 25 Years
,２５－３４歲,750,383,70,281,32,58,,40,11,7,237,72,57,15,25-34 Years
,３５－４４歲,2000,1223,94,1066,63,274,,246,25,3,365,138,113,25,35-44 Years
,４５－５４歲,2631,1611,275,1242,94,359,,278,75,6,501,160,131,29,45-54 Years
,５５－６４歲,3172,1710,580,1042,88,661,,461,185,15,602,199,174,25,55-64 Years
,６５歲以上,4004,1897,1361,495,41,1160,,779,253,128,664,283,221,62,65 Years and Over
,女,7521,3176,742,1762,672,1281,,844,308,129,2447,617,398,219,Female
,未滿２５歲,154,27,4,18,5,5,,5,0,0,98,24,17,7,Under 25 Years
,２５－３４歲,504,229,23,192,14,35,,33,2,0,198,42,29,13,25-34 Years
,３５－４４歲,1146,707,48,557,102,74,,68,6,0,300,65,49,16,35-44 Years
,４５－５４歲,1463,804,167,487,150,123,,90,25,8,460,76,62,14,45-54 Years
,５５－６４歲,1727,835,259,388,188,351,,217,102,32,444,97,69,28,55-64 Years
,６５歲以上,2527,574,241,120,213,693,,431,173,89,947,313,172,141,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
